都道府県,01総数,01スマートフォン,01格安スマートフォン,01機能限定・子供向けスマートフォン,01契約切れスマートフォン,01携帯電話,01機能限定電話・子ども向け携帯電話,01ノートパソコン,01デスクトップパソコン,01タブレット,01学習用タブレット,01子供向け娯楽用タブレット,01携帯音楽プレイヤー,01携帯ゲーム機,01据置型ゲーム機,01インターネット接続テレビ,01利用している（計）,01いずれも利用していない,01Ａスマートフォン（計）,01Ｂ携帯電話（計）,01Ｃパソコン（計）,01Ｄタブレット（計）,01Ｅ携帯音楽プレイヤー,01Ｆゲーム機（計）,01Ｇインターネット接続テレビ,01Ａ・Ｂスマートフォン・携帯電話（計）,01Ａ・Ｂ機能限定や子供向け（計）,01Ａ・Ｂ機能限定や子供向け以外（計）,01回答計,01総数_1,01スマートフォン_2,01格安スマートフォン_3,01機能限定・子供向けスマートフォン_4,01契約切れスマートフォン_5,01携帯電話_6,01機能限定電話・子ども向け携帯電話_7,01ノートパソコン_8,01デスクトップパソコン_9,01タブレット_10,01学習用タブレット_11,01子供向け娯楽用タブレット_12,01携帯音楽プレイヤー_13,01携帯ゲーム機_14,01据置型ゲーム機_15,01インターネット接続テレビ_16,01利用している（計）_17,01いずれも利用していない_18,01Ａスマートフォン（計）_19,01Ｂ携帯電話（計）_20,01Ｃパソコン（計）_21,01Ｄタブレット（計）_22,01Ｅ携帯音楽プレイヤー_23,01Ｆゲーム機（計）_24,01Ｇインターネット接続テレビ_25,01Ａ・Ｂスマートフォン・携帯電話（計）_26,01Ａ・Ｂ機能限定や子供向け（計）_27,01Ａ・Ｂ機能限定や子供向け以外（計）_28,01回答計_29,02該当数,02スマートフォン,02格安スマートフォン,02機能限定・子供向けスマートフォン,02契約切れスマートフォン,02携帯電話,02機能限定電話・子ども向け携帯電話,02ノートパソコン,02デスクトップパソコン,02タブレット,02学習用タブレット,02子供向け娯楽用タブレット,02携帯音楽プレイヤー,02携帯ゲーム機,02据置型ゲーム機,02インターネット接続テレビ,02インターネット利用（計）,02インターネット非利用,02モバイル機器（計）,02据置型機器（計）,02Ａスマートフォン（計）,02Ｂ携帯電話（計）,02Ｃパソコン（計）,02Ｄタブレット（計）,02Ｅ携帯音楽プレイヤー,02Ｆゲーム機（計）,02Ｇインターネット接続テレビ,02Ａ・Ｂスマートフォン・携帯電話（計）,02Ａ・Ｂ機能限定や子供向け（計）,02Ａ・Ｂ機能限定や子供向け以外（計）,37該当数,37コミニュケーション,37ニュース,37情報検索,37地図・ナビゲーション,37音楽視聴,37動画視聴,37電子書籍,37ゲーム,37ショッピング・オークション,37その他,37わからない,52全体 該当者,52使っていない,52３０分未満,52３０分以上１時間未満,52１時間以上２時間未満,52２時間以上３時間未満,52３時間以上４時間未満,52４時間以上５時間未満,52５時間以上６時間未満,52６時間以上９時間未満,52９時間以上１２時間未満,52１２時間以上１５時間未満,52１５時間以上１８時間未満,52１８時間以上２１時間未満,52２１時間以上２４時間未満,52２４時間以上,52わからない,52２時間以上（計）,52５時間以上（計）,52６時間以上（計）,52１２時間以上（計）,52１８時間以上（計）,52平均（分）,52標準偏差,68該当数,68スマートフォン,68格安スマートフォン,68機能限定・子供向けスマートフォン,68契約切れスマートフォン,68携帯電話,68機能限定電話・子ども向け携帯電話,68ノートパソコン,68デスクトップパソコン,68タブレット,68学習用タブレット,68子供向け娯楽用タブレット,68携帯音楽プレイヤー,68携帯ゲーム機,68据置型ゲーム機,68インターネット接続テレビ,68無線ＬＡＮ利用（計）,68無線ＬＡＮ非利用,68Ａスマートフォン（計）,68Ｂ携帯電話（計）,68Ｃパソコン（計）,68Ｄタブレット（計）,68Ｅ携帯音楽プレイヤー,68Ｆゲーム機（計）,68Ｇインターネット接続テレビ,68Ａ・Ｂスマートフォン・携帯電話（計）,68Ａ・Ｂ機能限定や子供向け（計）,68Ａ・Ｂ機能限定や子供向け以外（計）,85該当数,85悪口等のメール・メッセージ送られた,85悪口等のメール・メッセージ送った,85掲示板で自分や他人の情報書き込んだ,85親に話しにくいサイトを見た,85ゲームなどでお金を使いすぎた,85差別内容掲載サイトにアクセスする,85知らない人や、お店からメール来た,85迷惑メッセージ・メールを送られた,85ネットで知り合った人とメール等した,85ネットで知り合った同性と会った,85ネットで知り合った異性と会った,85ネットで知り合った人との関係悩んだ,85ネットにのめりこんで勉強できない,85その他困ったことがある,85あてはまるものがある（計）,85あてはまるものはない,85わからない,85回答計,86該当数,86利用する時間を決めている,86利用する場所を決めている,86メール・メッセージを送る相手の制限,86利用サイト・アプリ内容を決めている,86送信・投稿内容を決めている,86利用者情報を漏れないようにしている,86料金上限や課金方法を決めている,86困ったときはすぐに保護者に連絡する,86その他,86ルールを決めている（計）,86特にルールを決めていない,86わからない,86回答計,87総数,87学校で教えてもらった,87親（保護者）から教えてもらった,87兄弟・姉妹から教えてもらった,87機器の購入時に販売員より説明された,87機器の購入時に資料をもらった,87友だちから教えてもらった,87テレビや本・パンフレットで知った,87インターネットで知った,87その他,87説明を受けたり学んだりした（計）,87教えてもらったり学んだりしない,87わからない,87回答計,88総数,88男性,88女性,89総数,89１０歳,89１１歳,89１２歳,89１３歳,89１４歳,89１５歳,89１６歳,89１７歳,89平均,89標準偏差,90総数,90男性１０歳,90１１歳,90１２歳,90１３歳,90１４歳,90１５歳,90１６歳,90１７歳,90女性１０歳,90１１歳_30,90１２歳_31,90１３歳_32,90１４歳_33,90１５歳_34,90１６歳_35,90１７歳_36,91総数,91小学４年生,91小学５年生,91小学６年生,91中学１年生,91中学２年生,91中学３年生,91高校１年生,91高校２年生,91高校３年生,91専門学校、各種学校等,91中学校卒業,91高校中退,91専門学校、各種学校等中退・卒業,91小学生（計）,91中学生（計）,91高校生（計）,91その他（計）,92総数,92小学生男子,92女子,92中学生男子,92女子_37,92高校生男子,92女子_38,92その他,93総数,93１人以上いる,93いない,暴力件数,いじめ件数,不登校件数
北海道,151,54.3,2,3.3,6.6,2.6,9.3,14.6,11.9,37.7,4.6,0,17.9,62.3,34.4,3.3,98,2,60.9,11.9,25.2,41.1,17.9,66.9,3.3,70.9,12.6,61.6,266.9,151,54.3,2,3.3,6.6,2.6,9.3,14.6,11.9,37.7,4.6,0,17.9,62.3,34.4,3.3,98,2,60.9,11.9,25.2,41.1,17.9,66.9,3.3,70.9,12.6,61.6,266.9,148,54.7,1.4,1.4,4.7,0.7,0.7,14.9,11.5,35.8,0.7,0,5.4,45.9,20.3,2.7,92.6,7.4,92.6,29.7,59.5,1.4,25,35.8,5.4,49.3,2.7,60.8,2,58.8,81,84,34.6,54.3,32.1,61.7,80.2,9.9,71.6,17.3,0,0,137,4.4,2.2,2.9,17.5,21.9,16.1,11.7,9.5,8.8,2.9,0.7,0,0,0,0,1.5,71.5,21.9,12.4,0.7,0,189.79,135.3,137,55.5,1.5,1.5,4.4,0.7,0.7,16.1,10.9,35.8,0.7,0,5.8,43.8,19,2.9,92.7,7.3,60.6,1.5,26.3,35.8,5.8,47.4,2.9,62,2.2,59.9,137,1.5,1.5,2.2,0,1.5,0.7,15.3,13.9,8.8,2.9,0.7,0,6.6,0,29.9,70.1,0,125.5,137,32.1,25.5,5.1,15.3,14.6,19,28.5,30.7,3.6,67.2,32.1,0.7,207.3,151,90.1,45,3.3,4.6,3.3,10.6,21.2,13.9,0,97.4,2.6,0,194.7,151,50.3,49.7,151,9.3,14.6,13.2,12.6,17.9,13.9,11.9,6.6,13.38,2.1,151,2,7.3,7.3,6,8.6,6.6,7.9,4.6,7.3,7.3,6,6.6,9.3,7.3,4,2,151,7.3,14.6,11.3,13.9,15.9,12.6,15.9,4.6,3.3,0.7,0,0,0,33.1,42.4,23.8,0.7,151,13.9,19.2,21.9,20.5,13.9,9.9,0.7,151,53,47,1.5,24.5,12.5 
青森県,26,38.5,7.7,0,3.8,0,7.7,30.8,11.5,30.8,0,0,15.4,38.5,23.1,7.7,76.9,23.1,50,7.7,38.5,30.8,15.4,46.2,7.7,57.7,7.7,50,238.5,26,38.5,7.7,0,3.8,0,7.7,30.8,11.5,30.8,0,0,15.4,38.5,23.1,7.7,76.9,23.1,50,7.7,38.5,30.8,15.4,46.2,7.7,57.7,7.7,50,238.5,20,50,10,0,0,0,5,40,15,40,0,0,5,25,15,10,90,10,85,30,60,5,50,40,5,30,10,65,5,60,10,90,40,80,50,70,100,40,80,40,10,0,18,5.6,0,16.7,11.1,16.7,22.2,0,5.6,16.7,0,0,0,0,0,0,5.6,61.1,22.2,16.7,0,0,165,129.9,18,44.4,11.1,0,0,0,0,33.3,11.1,44.4,0,0,0,27.8,16.7,5.6,77.8,22.2,55.6,0,38.9,44.4,0,33.3,5.6,55.6,0,55.6,18,0,0,5.6,5.6,5.6,5.6,22.2,22.2,22.2,11.1,0,0,0,0,38.9,61.1,0,161.1,18,16.7,27.8,16.7,5.6,5.6,16.7,27.8,27.8,0,66.7,33.3,0,177.8,26,100,38.5,3.8,7.7,3.8,11.5,23.1,11.5,0,100,0,0,200,26,53.8,46.2,26,7.7,15.4,11.5,7.7,15.4,11.5,19.2,11.5,13.77,2.3,26,7.7,7.7,3.8,3.8,7.7,3.8,15.4,3.8,0,7.7,7.7,3.8,7.7,7.7,3.8,7.7,26,0,15.4,19.2,7.7,11.5,7.7,19.2,15.4,0,0,0,3.8,0,34.6,26.9,34.6,3.8,26,19.2,15.4,11.5,15.4,23.1,11.5,3.8,26,53.8,46.2,7.4,53.9,11.6 
岩手県,49,44.9,6.1,2,8.2,2,4.1,10.2,6.1,24.5,4.1,0,8.2,42.9,24.5,2,93.9,6.1,57.1,6.1,16.3,28.6,8.2,42.9,2,63.3,6.1,57.1,195.9,49,44.9,6.1,2,8.2,2,4.1,10.2,6.1,24.5,4.1,0,8.2,42.9,24.5,2,93.9,6.1,57.1,6.1,16.3,28.6,8.2,42.9,2,63.3,6.1,57.1,195.9,46,47.8,4.3,2.2,4.3,0,2.2,10.9,6.5,26.1,4.3,0,2.2,37,17.4,2.2,91.3,8.7,91.3,23.9,56.5,2.2,17.4,30.4,2.2,37,2.2,58.7,4.3,54.3,22,95.5,36.4,68.2,31.8,68.2,77.3,4.5,36.4,13.6,0,0,42,7.1,7.1,16.7,19,21.4,2.4,11.9,7.1,7.1,0,0,0,0,0,0,0,50,14.3,7.1,0,0,130.12,111.8,42,52.4,2.4,2.4,4.8,0,2.4,9.5,4.8,28.6,4.8,0,2.4,38.1,16.7,2.4,95.2,4.8,59.5,2.4,14.3,33.3,2.4,38.1,2.4,61.9,4.8,57.1,42,0,0,0,2.4,0,0,2.4,4.8,0,0,0,0,7.1,2.4,16.7,83.3,0,102.4,42,33.3,4.8,11.9,4.8,2.4,4.8,2.4,19,0,45.2,54.8,0,138.1,49,83.7,32.7,0,2,0,0,14.3,2,0,89.8,10.2,0,144.9,49,53.1,46.9,49,16.3,14.3,8.2,10.2,14.3,10.2,18.4,8.2,13.37,2.4,49,6.1,6.1,4.1,6.1,12.2,6.1,6.1,6.1,10.2,8.2,4.1,4.1,2,4.1,12.2,2,49,8.2,18.4,8.2,8.2,14.3,10.2,18.4,8.2,6.1,0,0,0,0,34.7,32.7,32.7,0,49,14.3,20.4,22.4,10.2,16.3,16.3,0,49,51,49,4.2,53.6,12.6 
宮城県,75,45.3,1.3,4,1.3,2.7,5.3,18.7,2.7,26.7,2.7,0,13.3,38.7,16,2.7,90.7,9.3,50.7,8,21.3,29.3,13.3,45.3,2.7,58.7,9.3,50.7,190.7,75,45.3,1.3,4,1.3,2.7,5.3,18.7,2.7,26.7,2.7,0,13.3,38.7,16,2.7,90.7,9.3,50.7,8,21.3,29.3,13.3,45.3,2.7,58.7,9.3,50.7,190.7,68,45.6,1.5,2.9,0,1.5,0,17.6,2.9,25,1.5,0,5.9,23.5,11.8,2.9,82.4,17.6,80.9,16.2,48.5,1.5,20.6,26.5,5.9,27.9,2.9,50,2.9,48.5,31,87.1,51.6,87.1,45.2,80.6,74.2,19.4,90.3,25.8,0,0,56,3.6,3.6,7.1,32.1,16.1,19.6,8.9,5.4,1.8,1.8,0,0,0,0,0,0,53.6,8.9,3.6,0,0,142.14,111.2,56,50,1.8,3.6,0,0,0,19.6,3.6,26.8,0,0,3.6,19.6,10.7,0,85.7,14.3,53.6,0,23.2,26.8,3.6,25,0,53.6,3.6,51.8,56,0,0,0,0,1.8,0,8.9,10.7,1.8,0,0,0,14.3,1.8,25,73.2,1.8,114.3,56,39.3,21.4,7.1,3.6,8.9,5.4,21.4,17.9,0,57.1,42.9,0,167.9,75,73.3,38.7,2.7,6.7,5.3,6.7,12,10.7,0,86.7,10.7,2.7,169.3,75,50.7,49.3,75,12,13.3,13.3,10.7,8,20,14.7,8,13.48,2.3,75,8,6.7,2.7,4,5.3,12,8,4,4,6.7,10.7,6.7,2.7,8,6.7,4,75,5.3,17.3,8,13.3,9.3,16,14.7,12,2.7,0,1.3,0,0,30.7,38.7,29.3,1.3,75,14.7,16,20,18.7,14.7,14.7,1.3,75,49.3,50.7,6,79.5,20.9 
秋田県,28,39.3,0,0,3.6,0,0,3.6,0,17.9,3.6,0,17.9,39.3,3.6,3.6,78.6,21.4,39.3,0,3.6,21.4,17.9,39.3,3.6,39.3,0,39.3,153.6,28,39.3,0,0,3.6,0,0,3.6,0,17.9,3.6,0,17.9,39.3,3.6,3.6,78.6,21.4,39.3,0,3.6,21.4,17.9,39.3,3.6,39.3,0,39.3,153.6,22,50,0,0,4.5,0,0,4.5,0,22.7,4.5,0,13.6,31.8,4.5,4.5,90.9,9.1,90.9,4.5,50,0,4.5,27.3,13.6,31.8,4.5,50,0,50,11,100,54.5,72.7,45.5,81.8,90.9,27.3,100,36.4,0,0,20,0,0,5,35,30,15,0,5,5,0,0,0,0,0,0,5,55,10,5,0,0,132.63,84.4,20,55,0,0,5,0,0,5,0,20,5,0,10,30,5,5,95,5,55,0,5,25,10,30,5,55,0,55,20,0,0,5,0,5,0,5,5,15,0,0,10,5,0,15,80,5,135,20,45,35,10,10,10,5,20,30,5,70,30,0,200,28,100,64.3,3.6,7.1,3.6,0,17.9,10.7,0,100,0,0,207.1,28,42.9,57.1,28,7.1,7.1,21.4,7.1,14.3,10.7,17.9,14.3,13.89,2.2,28,3.6,0,10.7,0,7.1,0,7.1,14.3,3.6,7.1,10.7,7.1,7.1,10.7,10.7,0,28,3.6,3.6,17.9,17.9,3.6,14.3,14.3,3.6,10.7,0,3.6,7.1,0,25,35.7,28.6,10.7,28,7.1,17.9,14.3,21.4,17.9,10.7,10.7,28,57.1,42.9,1.5,32.4,10.5 
山形県,48,52.1,0,4.2,2.1,6.3,2.1,10.4,0,22.9,2.1,0,25,52.1,31.3,6.3,95.8,4.2,58.3,8.3,10.4,22.9,25,58.3,6.3,64.6,6.3,58.3,220.8,48,52.1,0,4.2,2.1,6.3,2.1,10.4,0,22.9,2.1,0,25,52.1,31.3,6.3,95.8,4.2,58.3,8.3,10.4,22.9,25,58.3,6.3,64.6,6.3,58.3,220.8,46,54.3,0,4.3,2.2,4.3,0,10.9,0,23.9,2.2,0,19.6,43.5,21.7,4.3,100,0,100,26.1,60.9,4.3,10.9,23.9,19.6,50,4.3,65.2,4.3,60.9,25,92,48,84,64,88,92,20,80,32,4,0,46,2.2,4.3,2.2,30.4,26.1,15.2,4.3,2.2,6.5,4.3,0,0,0,0,0,2.2,58.7,13,10.9,0,0,166.33,148,46,50,0,2.2,2.2,0,0,6.5,0,21.7,2.2,0,13,32.6,17.4,2.2,84.8,15.2,54.3,0,6.5,21.7,13,34.8,2.2,54.3,2.2,52.2,46,8.7,2.2,2.2,2.2,2.2,0,15.2,17.4,8.7,0,0,0,8.7,2.2,39.1,58.7,2.2,130.4,46,26.1,10.9,10.9,10.9,8.7,26.1,17.4,19.6,6.5,67.4,32.6,0,169.6,48,100,35.4,4.2,6.3,4.2,31.3,20.8,14.6,0,100,0,0,216.7,48,50,50,48,2.1,8.3,14.6,8.3,12.5,18.8,16.7,18.8,14.38,2.1,48,2.1,4.2,8.3,4.2,8.3,8.3,10.4,4.2,0,4.2,6.3,4.2,4.2,10.4,6.3,14.6,48,0,4.2,20.8,4.2,14.6,14.6,18.8,14.6,8.3,0,0,0,0,25,33.3,41.7,0,48,14.6,10.4,16.7,16.7,18.8,22.9,0,48,50,50,1,54.1,13.0 
福島県,42,38.1,0,9.5,2.4,2.4,11.9,7.1,2.4,21.4,2.4,0,4.8,23.8,4.8,0,81,19,50,14.3,9.5,23.8,4.8,26.2,0,64.3,21.4,42.9,150,42,38.1,0,9.5,2.4,2.4,11.9,7.1,2.4,21.4,2.4,0,4.8,23.8,4.8,0,81,19,50,14.3,9.5,23.8,4.8,26.2,0,64.3,21.4,42.9,150,34,44.1,0,0,2.9,0,2.9,8.8,2.9,26.5,0,0,2.9,20.6,5.9,0,82.4,17.6,82.4,8.8,47.1,2.9,11.8,26.5,2.9,23.5,0,50,2.9,47.1,15,73.3,46.7,80,60,80,86.7,20,73.3,33.3,0,0,28,3.6,3.6,17.9,21.4,10.7,25,10.7,0,7.1,0,0,0,0,0,0,0,53.6,7.1,7.1,0,0,139.64,116.6,28,46.4,0,0,3.6,0,3.6,10.7,3.6,25,0,0,3.6,14.3,7.1,0,82.1,17.9,50,3.6,14.3,25,3.6,17.9,0,53.6,3.6,50,28,0,0,3.6,0,3.6,0,17.9,17.9,32.1,7.1,0,0,7.1,0,39.3,60.7,0,150,28,25,14.3,14.3,10.7,7.1,21.4,32.1,35.7,0,67.9,25,7.1,192.9,42,81,31,4.8,4.8,4.8,4.8,11.9,11.9,2.4,83.3,16.7,0,173.8,42,40.5,59.5,42,19,19,9.5,7.1,14.3,14.3,9.5,7.1,12.95,2.3,42,9.5,7.1,7.1,4.8,2.4,4.8,0,4.8,9.5,11.9,2.4,2.4,11.9,9.5,9.5,2.4,42,14.3,16.7,14.3,9.5,7.1,19,7.1,9.5,2.4,0,0,0,0,45.2,35.7,19,0,42,21.4,23.8,14.3,21.4,4.8,14.3,0,42,45.2,54.8,2.5,24.3,11.6 
茨城県,89,65.2,2.2,4.5,1.1,2.2,11.2,23.6,5.6,32.6,6.7,0,18,42.7,28.1,12.4,96.6,3.4,70.8,13.5,28.1,34.8,18,50.6,12.4,80.9,15.7,68.5,259.6,89,65.2,2.2,4.5,1.1,2.2,11.2,23.6,5.6,32.6,6.7,0,18,42.7,28.1,12.4,96.6,3.4,70.8,13.5,28.1,34.8,18,50.6,12.4,80.9,15.7,68.5,259.6,86,65.1,2.3,1.2,1.2,1.2,1.2,24.4,5.8,33.7,7,0,7,33.7,20.9,7,93,7,93,27.9,69.8,2.3,29.1,36,7,39.5,7,69.8,2.3,68.6,56,71.4,41.1,75,39.3,62.5,83.9,5.4,71.4,16.1,3.6,1.8,80,2.5,8.8,8.8,20,18.8,18.8,5,6.3,6.3,2.5,0,0,0,0,0,2.5,57.5,15,8.8,0,0,153.35,125.6,80,63.8,1.3,1.3,1.3,1.3,1.3,21.3,5,31.3,6.3,0,7.5,31.3,21.3,2.5,92.5,7.5,67.5,2.5,25,33.8,7.5,37.5,2.5,67.5,2.5,66.3,80,2.5,1.3,2.5,2.5,2.5,0,18.8,11.3,11.3,0,0,0,30,0,42.5,57.5,0,140,80,36.3,32.5,10,13.8,21.3,32.5,32.5,33.8,2.5,80,17.5,2.5,235,89,92.1,43.8,5.6,4.5,6.7,11.2,23.6,10.1,0,94.4,3.4,2.2,203.4,89,55.1,44.9,89,10.1,16.9,13.5,13.5,15.7,6.7,12.4,11.2,13.34,2.2,89,6.7,5.6,10.1,10.1,6.7,3.4,7.9,4.5,3.4,11.2,3.4,3.4,9,3.4,4.5,6.7,89,3.4,16.9,15.7,12.4,16.9,11.2,9,10.1,4.5,0,0,0,0,36,40.4,23.6,0,89,19.1,16.9,23.6,16.9,12.4,11.2,0,89,52.8,47.2,5.8,60.4,11.9 
栃木県,74,54.1,1.4,4.1,4.1,1.4,5.4,10.8,4.1,24.3,6.8,0,17.6,47.3,21.6,2.7,85.1,14.9,62.2,6.8,13.5,25.7,17.6,52.7,2.7,68.9,9.5,59.5,220.3,74,54.1,1.4,4.1,4.1,1.4,5.4,10.8,4.1,24.3,6.8,0,17.6,47.3,21.6,2.7,85.1,14.9,62.2,6.8,13.5,25.7,17.6,52.7,2.7,68.9,9.5,59.5,220.3,63,61.9,1.6,3.2,3.2,0,1.6,11.1,4.8,28.6,7.9,0,11.1,39.7,15.9,3.2,90.5,9.5,90.5,20.6,68.3,1.6,14.3,30.2,11.1,46,3.2,69.8,4.8,65.1,39,82.1,41,59,41,66.7,87.2,17.9,89.7,20.5,0,0,57,1.8,0,12.3,17.5,21.1,12.3,14,7,5.3,1.8,0,0,0,0,1.8,5.3,63.2,15.8,8.8,1.8,1.8,201.48,281.1,57,68.4,1.8,1.8,3.5,0,1.8,12.3,3.5,28.1,3.5,0,8.8,38.6,17.5,1.8,96.5,3.5,73.7,1.8,14,28.1,8.8,45.6,1.8,75.4,3.5,71.9,57,3.5,1.8,1.8,1.8,3.5,1.8,8.8,14,14,3.5,0,1.8,19.3,1.8,38.6,61.4,0,138.6,57,28.1,14,14,12.3,7,15.8,28.1,38.6,0,57.9,42.1,0,200,74,91.9,37.8,1.4,9.5,4.1,12.2,17.6,13.5,0,93.2,5.4,1.4,194.6,74,55.4,44.6,74,13.5,12.2,9.5,14.9,9.5,10.8,17.6,12.2,13.58,2.4,74,4.1,5.4,6.8,5.4,6.8,8.1,8.1,10.8,9.5,6.8,2.7,9.5,2.7,2.7,9.5,1.4,74,8.1,16.2,6.8,16.2,8.1,13.5,8.1,20.3,2.7,0,0,0,0,31.1,37.8,31.1,0,74,13.5,17.6,21.6,16.2,20.3,10.8,0,74,50,50,5.5,19.2,16.7 
群馬県,55,52.7,3.6,1.8,3.6,5.5,10.9,14.5,5.5,12.7,1.8,0,20,41.8,16.4,7.3,92.7,7.3,61.8,16.4,16.4,14.5,20,41.8,7.3,78.2,12.7,65.5,205.5,55,52.7,3.6,1.8,3.6,5.5,10.9,14.5,5.5,12.7,1.8,0,20,41.8,16.4,7.3,92.7,7.3,61.8,16.4,16.4,14.5,20,41.8,7.3,78.2,12.7,65.5,205.5,51,56.9,3.9,0,0,2,5.9,11.8,2,9.8,0,0,5.9,37.3,13.7,3.9,86.3,13.7,86.3,15.7,60.8,7.8,13.7,9.8,5.9,39.2,3.9,68.6,5.9,62.7,29,86.2,51.7,72.4,41.4,82.8,79.3,17.2,82.8,27.6,0,0,44,11.4,6.8,6.8,15.9,27.3,9.1,2.3,9.1,4.5,0,0,0,0,0,0,6.8,52.3,13.6,4.5,0,0,122.63,104.7,44,63.6,2.3,0,0,0,2.3,13.6,2.3,11.4,0,0,2.3,36.4,13.6,4.5,90.9,9.1,65.9,2.3,15.9,11.4,2.3,36.4,4.5,68.2,2.3,65.9,44,0,0,6.8,6.8,2.3,4.5,22.7,25,18.2,4.5,2.3,4.5,15.9,0,43.2,52.3,4.5,170.5,44,31.8,25,15.9,13.6,22.7,31.8,25,34.1,6.8,70.5,27.3,2.3,236.4,55,89.1,40,5.5,10.9,18.2,16.4,29.1,12.7,0,92.7,3.6,3.6,229.1,55,50.9,49.1,55,12.7,10.9,18.2,14.5,7.3,9.1,9.1,18.2,13.47,2.4,55,9.1,5.5,10.9,9.1,5.5,0,1.8,9.1,3.6,5.5,7.3,5.5,1.8,9.1,7.3,9.1,55,9.1,14.5,12.7,14.5,10.9,7.3,10.9,14.5,5.5,0,0,0,0,36.4,32.7,30.9,0,55,21.8,14.5,18.2,14.5,10.9,20,0,55,47.3,52.7,1.5,15.7,14.9 
