,85悪口等のメール・メッセージ送った,85掲示板で自分や他人の情報書き込んだ,85親に話しにくいサイトを見た,85ゲームなどでお金を使いすぎた,85差別内容掲載サイトにアクセスする,85ネットで知り合った人とメール等した,85ネットで知り合った異性と会った,86利用する時間を決めている,86メール・メッセージを送る相手の制限,86送信・投稿内容を決めている,86料金上限や課金方法を決めている,87親（保護者）から教えてもらった,87兄弟・姉妹から教えてもらった,87機器の購入時に販売員より説明された
1,1.5,2.2,0.0,1.5,0.7,8.8,0.7,32.1,5.1,14.6,28.5,45.0,3.3,4.6
2,0.0,5.6,5.6,5.6,5.6,22.2,0.0,16.7,16.7,5.6,27.8,38.5,3.8,7.7
3,0.0,0.0,2.4,0.0,0.0,0.0,0.0,33.3,11.9,2.4,2.4,32.7,0.0,2.0
4,0.0,0.0,0.0,1.8,0.0,1.8,0.0,39.3,7.1,8.9,21.4,38.7,2.7,6.7
5,0.0,5.0,0.0,5.0,0.0,15.0,0.0,45.0,10.0,10.0,20.0,64.3,3.6,7.1
6,2.2,2.2,2.2,2.2,0.0,8.7,0.0,26.1,10.9,8.7,17.4,35.4,4.2,6.3
7,0.0,3.6,0.0,3.6,0.0,32.1,0.0,25.0,14.3,7.1,32.1,31.0,4.8,4.8
8,1.3,2.5,2.5,2.5,0.0,11.3,0.0,36.3,10.0,21.3,32.5,43.8,5.6,4.5
9,1.8,1.8,1.8,3.5,1.8,14.0,0.0,28.1,14.0,7.0,28.1,37.8,1.4,9.5
10,0.0,6.8,6.8,2.3,4.5,18.2,2.3,31.8,15.9,22.7,25.0,40.0,5.5,10.9
11,0.0,2.3,2.3,1.5,0.8,9.2,0.8,23.7,5.3,9.2,19.1,37.7,1.3,4.0
12,0.8,3.4,3.4,0.8,0.8,10.9,0.8,35.3,10.9,9.2,21.0,36.3,2.1,2.7
13,0.4,4.4,2.2,2.2,0.4,8.8,1.8,29.4,15.4,17.5,26.3,44.4,4.9,3.7
14,1.3,3.8,4.4,2.5,0.0,10.8,0.6,32.9,10.8,16.5,22.2,42.9,4.7,1.6
