,,,,,
＜Ｑ１のいずれかの機器を利用している（Ｑ１で「１」～「１５」のいずれかを回答）方に＞,,,,,
〔回答票２〕Ｑ２（Ａ１スマホ～Ｇ１インターネット接続テレビ計）あなたは、Ｑ１で回答した機器でインターネットを使っていますか。それぞれの機器について、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,,
,,,,,
,,,,,
,青少年分析軸,,,,
,該当数,使っている（計）,使える機種・設定で、使っていない（計）,使えない機種・設定で、使っていない（計）,わからない（計）
＊＊【　総　数　】＊＊,3142    ,83.2    ,29.4    ,29.7    ,9.1    
調査方法〔訪問・ＷＥＢ〕,,,,,
訪問面接調査,3087    ,83.1    ,29.3    ,29.7    ,9.1    
ＷＥＢ調査,55    ,90.9    ,32.7    ,29.1    ,9.1    
〔性・学校種別〕,,,,,
小学生（計）,909    ,62.9    ,35.0    ,43.1    ,11.9    
  男子,454    ,65.2    ,38.1    ,41.2    ,11.2    
  女子,455    ,60.7    ,31.9    ,45.1    ,12.5    
中学生（計）,1216    ,86.8    ,30.7    ,26.2    ,9.5    
  男子,587    ,86.4    ,32.5    ,23.2    ,9.9    
  女子,629    ,87.1    ,28.9    ,28.9    ,9.2    
高校生（計）,992    ,97.3    ,22.9    ,22.3    ,5.9    
  男子,480    ,96.7    ,26.7    ,19.4    ,7.1    
  女子,512    ,97.9    ,19.3    ,25.0    ,4.9    
〔啓発学習経験・学校種別〕,,,,,
  説明を受けたり学んだりした,2878    ,84.4    ,29.5    ,29.4    ,8.7    
  教えてもらったり学んだりしたことはない,221    ,70.1    ,27.1    ,32.1    ,12.2    
  わからない,43    ,69.8    ,34.9    ,34.9    ,18.6    
小学生（計）,909    ,62.9    ,35.0    ,43.1    ,11.9    
  説明を受けたり学んだりした,750    ,64.3    ,35.5    ,44.0    ,11.6    
  教えてもらったり学んだりしたことはない,133    ,57.1    ,31.6    ,39.8    ,12.8    
  わからない,26    ,53.8    ,38.5    ,34.6    ,15.4    
中学生（計）,1216    ,86.8    ,30.7    ,26.2    ,9.5    
  説明を受けたり学んだりした,1164    ,86.9    ,30.8    ,25.8    ,9.0    
  教えてもらったり学んだりしたことはない,41    ,80.5    ,22.0    ,31.7    ,17.1    
  わからない,11    ,90.9    ,45.5    ,45.5    ,36.4    
高校生（計）,992    ,97.3    ,22.9    ,22.3    ,5.9    
  説明を受けたり学んだりした,942    ,97.2    ,23.1    ,22.8    ,5.9    
  教えてもらったり学んだりしたことはない,44    ,97.7    ,20.5    ,11.4    ,6.8    
  わからない,6    ,100.0    ,-,16.7    ,-
〔家庭のルール・学校種別〕,,,,,
  ルールを決めている（計）,1651    ,100.0    ,26.5    ,27.3    ,7.7    
  特にルールを決めていない,937    ,100.0    ,23.2    ,20.9    ,7.8    
  わからない,27    ,100.0    ,3.7    ,18.5    ,7.4    
小学生（計）,572    ,100.0    ,28.0    ,34.1    ,9.8    
  ルールを決めている（計）,424    ,100.0    ,29.7    ,35.8    ,9.2    
  特にルールを決めていない,135    ,100.0    ,24.4    ,29.6    ,11.1    
  わからない,13    ,100.0    ,7.7    ,23.1    ,15.4    
中学生（計）,1055    ,100.0    ,26.9    ,22.7    ,8.7    
  ルールを決めている（計）,731    ,100.0    ,28.2    ,24.1    ,8.6    
  特にルールを決めていない,315    ,100.0    ,24.8    ,20.0    ,9.2    
  わからない,9    ,100.0    ,-,11.1    ,-
高校生（計）,965    ,100.0    ,21.5    ,22.4    ,5.5    
  ルールを決めている（計）,488    ,100.0    ,21.1    ,25.0    ,4.9    
  特にルールを決めていない,472    ,100.0    ,22.0    ,19.7    ,6.1    
  わからない,5    ,100.0    ,-,20.0    ,-
Ｑ２〔インターネット利用・学校種別〕,,,,,
  インターネット利用（計）,2615    ,100.0    ,25.0    ,24.9    ,7.7    
  インターネット非利用（含わからない）,527    ,-,50.9    ,53.1    ,15.7    
小学生（計）,909    ,62.9    ,35.0    ,43.1    ,11.9    
  インターネット利用（計）,572    ,100.0    ,28.0    ,34.1    ,9.8    
  インターネット非利用（含わからない）,337    ,-,46.9    ,58.5    ,15.4    
中学生（計）,1216    ,86.8    ,30.7    ,26.2    ,9.5    
  インターネット利用（計）,1055    ,100.0    ,26.9    ,22.7    ,8.7    
  インターネット非利用（含わからない）,161    ,-,55.3    ,48.4    ,14.9    
高校生（計）,992    ,97.3    ,22.9    ,22.3    ,5.9    
  インターネット利用（計）,965    ,100.0    ,21.5    ,22.4    ,5.5    
  インターネット非利用（含わからない）,27    ,-,74.1    ,18.5    ,22.2    
Ｆ４〔兄弟・姉妹の有無〕,,,,,
  １人以上いる,1666    ,84.7    ,27.6    ,26.0    ,9.2    
  いない,1476    ,81.6    ,31.4    ,33.8    ,8.9    
