,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 【全数ベース】＜Ｑ１のいずれかの機器を利用している（Ｑ１で「１」～「１５」のいずれかを回答）方に＞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【全数ベース】〔回答票２〕Ｑ２（ネット利用まとめ：1使っている）あなたは、Ｑ１で回答した機器でインターネットを使っていますか。それぞれの機器について、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,スマートフォン,格安スマートフォン,機能限定・子供向けスマートフォン,契約切れスマートフォン,携帯電話,機能限定電話・子ども向け携帯電話,ノートパソコン,デスクトップパソコン,タブレット,学習用タブレット,子供向け娯楽用タブレット,携帯音楽プレイヤー,携帯ゲーム機,据置型ゲーム機,インターネット接続テレビ,インターネット利用（計）,インターネット非利用,モバイル機器（計）,据置型機器（計）,Ａスマートフォン（計）,Ｂ携帯電話（計）,Ｃパソコン（計）,Ｄタブレット（計）,Ｅ携帯音楽プレイヤー,Ｆゲーム機（計）,Ｇインターネット接続テレビ,Ａ・Ｂスマートフォン・携帯電話（計）,Ａ・Ｂ機能限定や子供向け（計）,Ａ・Ｂ機能限定や子供向け以外（計）
＊＊【　総　数　】＊＊,3441    ,42.9    ,0.6    ,0.8    ,2.1    ,3.5    ,0.9    ,23.0    ,11.0    ,12.6    ,4.0    ,0.2    ,9.5    ,18.5    ,7.7    ,1.7    ,76.0    ,24.0    ,74.0    ,17.8    ,45.7    ,4.4    ,32.8    ,16.3    ,9.5    ,20.9    ,1.7    ,49.5    ,1.7    ,48.1    
調査方法〔訪問・ＷＥＢ〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
訪問面接調査,3385    ,42.6    ,0.5    ,0.8    ,2.2    ,3.5    ,0.9    ,23.0    ,11.0    ,12.5    ,4.1    ,0.2    ,9.5    ,18.5    ,7.7    ,1.7    ,75.8    ,24.2    ,73.8    ,17.8    ,45.5    ,4.4    ,32.7    ,16.3    ,9.5    ,20.9    ,1.7    ,49.3    ,1.7    ,47.9    
ＷＥＢ調査,56    ,57.1    ,1.8    ,-,-,1.8    ,-,28.6    ,12.5    ,17.9    ,1.8    ,-,12.5    ,19.6    ,7.1    ,-,89.3    ,10.7    ,89.3    ,17.9    ,58.9    ,1.8    ,41.1    ,19.6    ,12.5    ,21.4    ,-,60.7    ,-,60.7    
〔性・学校種別〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小学生（計）,1080    ,9.1    ,0.3    ,0.9    ,2.4    ,2.2    ,1.7    ,17.4    ,8.0    ,12.2    ,3.1    ,0.4    ,3.1    ,24.9    ,7.6    ,1.0    ,53.0    ,47.0    ,50.4    ,14.5    ,12.5    ,3.9    ,24.6    ,15.3    ,3.1    ,26.0    ,1.0    ,15.6    ,2.6    ,13.3    
  男子,534    ,8.4    ,0.4    ,0.6    ,2.4    ,1.3    ,1.5    ,19.1    ,7.9    ,14.2    ,2.8    ,0.7    ,2.4    ,28.5    ,9.6    ,0.7    ,55.4    ,44.6    ,52.8    ,15.9    ,11.4    ,2.8    ,26.2    ,16.9    ,2.4    ,29.8    ,0.7    ,13.7    ,2.1    ,12.0    
  女子,546    ,9.7    ,0.2    ,1.3    ,2.4    ,3.1    ,1.8    ,15.8    ,8.1    ,10.3    ,3.5    ,-,3.7    ,21.4    ,5.7    ,1.3    ,50.5    ,49.5    ,48.0    ,13.2    ,13.6    ,4.9    ,23.1    ,13.7    ,3.7    ,22.3    ,1.3    ,17.6    ,3.1    ,14.7    
