,,,,,,
 【全数ベース】＜Ｑ１の該当機器を利用している（Ｑ１で「９」を回答）方に＞,,,,,,
【全数ベース】〔回答票２〕Ｑ２〔D-1タブレット〕あなたは、Ｑ１で回答した機器でインターネットを使っていますか。それぞれの機器について、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,,,
,,,,,,
,,,,,,
,青少年分析軸,,,,,
,総数,使っている,使える機種・設定で、使っていない,使えない機種・設定で、使っていない,わからない,非該当
＊＊【　総　数　】＊＊,3441    ,12.6    ,0.9    ,0.1    ,0.3    ,86.0    
調査方法〔訪問・ＷＥＢ〕,,,,,,
訪問面接調査,3385    ,12.5    ,0.9    ,0.1    ,0.4    ,86.1    
ＷＥＢ調査,56    ,17.9    ,1.8    ,-,-,80.4    
〔性・学校種別〕,,,,,,
小学生（計）,1080    ,12.2    ,1.1    ,0.4    ,0.6    ,85.7    
  男子,534    ,14.2    ,1.5    ,0.4    ,0.2    ,83.7    
  女子,546    ,10.3    ,0.7    ,0.4    ,0.9    ,87.7    
中学生（計）,1329    ,15.8    ,0.9    ,-,0.4    ,82.9    
  男子,654    ,16.7    ,0.8    ,-,0.3    ,82.3    
  女子,675    ,15.0    ,1.0    ,-,0.4    ,83.6    
高校生（計）,1007    ,9.0    ,0.8    ,0.1    ,0.1    ,90.0    
  男子,491    ,8.8    ,0.6    ,0.2    ,-,90.4    
  女子,516    ,9.3    ,1.0    ,-,0.2    ,89.5    
〔啓発学習経験・学校種別〕,,,,,,
  説明を受けたり学んだりした,3117    ,13.1    ,0.9    ,0.1    ,0.3    ,85.6    
  教えてもらったり学んだりしたことはない,267    ,8.2    ,0.4    ,0.4    ,1.1    ,89.9    
  わからない,57    ,8.8    ,3.5    ,-,-,87.7    
小学生（計）,1080    ,12.2    ,1.1    ,0.4    ,0.6    ,85.7    
  説明を受けたり学んだりした,874    ,13.2    ,1.0    ,0.3    ,0.5    ,85.0    
  教えてもらったり学んだりしたことはない,169    ,8.3    ,0.6    ,0.6    ,1.2    ,89.3    
  わからない,37    ,8.1    ,5.4    ,-,-,86.5    
中学生（計）,1329    ,15.8    ,0.9    ,-,0.4    ,82.9    
  説明を受けたり学んだりした,1266    ,16.1    ,0.9    ,-,0.3    ,82.6    
  教えてもらったり学んだりしたことはない,49    ,10.2    ,-,-,2.0    ,87.8    
  わからない,14    ,7.1    ,-,-,-,92.9    
高校生（計）,1007    ,9.0    ,0.8    ,0.1    ,0.1    ,90.0    
  説明を受けたり学んだりした,955    ,9.1    ,0.8    ,0.1    ,0.1    ,89.8    
  教えてもらったり学んだりしたことはない,46    ,6.5    ,-,-,-,93.5    
  わからない,6    ,16.7    ,-,-,-,83.3    
〔家庭のルール・学校種別〕,,,,,,
  ルールを決めている（計）,1651    ,18.7    ,0.7    ,0.1    ,0.1    ,80.5    
  特にルールを決めていない,937    ,12.7    ,0.9    ,0.1    ,0.1    ,86.2    
  わからない,27    ,25.9    ,-,-,-,74.1    
小学生（計）,572    ,23.1    ,0.7    ,0.2    ,0.2    ,75.9    
  ルールを決めている（計）,424    ,25.2    ,0.7    ,0.2    ,-,73.8    
  特にルールを決めていない,135    ,16.3    ,0.7    ,-,0.7    ,82.2    
  わからない,13    ,23.1    ,-,-,-,76.9    
中学生（計）,1055    ,19.9    ,0.8    ,-,0.1    ,79.2    
  ルールを決めている（計）,731    ,20.8    ,0.7    ,-,0.1    ,78.4    
  特にルールを決めていない,315    ,17.5    ,1.0    ,-,-,81.6    
  わからない,9    ,33.3    ,-,-,-,66.7    
高校生（計）,965    ,9.4    ,0.7    ,0.1    ,0.1    ,89.6    
  ルールを決めている（計）,488    ,10.0    ,0.6    ,-,0.2    ,89.1    
  特にルールを決めていない,472    ,8.7    ,0.8    ,0.2    ,-,90.3    
  わからない,5    ,20.0    ,-,-,-,80.0    
Ｑ２〔インターネット利用・学校種別〕,,,,,,
  インターネット利用（計）,2615    ,16.6    ,0.7    ,0.1    ,0.1    ,82.5    
  インターネット非利用（含わからない）,527    ,-,2.5    ,0.6    ,1.7    ,95.3    
小学生（計）,909    ,14.5    ,1.3    ,0.4    ,0.7    ,83.1    
  インターネット利用（計）,572    ,23.1    ,0.7    ,0.2    ,0.2    ,75.9    
  インターネット非利用（含わからない）,337    ,-,2.4    ,0.9    ,1.5    ,95.3    
中学生（計）,1216    ,17.3    ,1.0    ,-,0.4    ,81.3    
  インターネット利用（計）,1055    ,19.9    ,0.8    ,-,0.1    ,79.2    
  インターネット非利用（含わからない）,161    ,-,2.5    ,-,2.5    ,95.0    
高校生（計）,992    ,9.2    ,0.8    ,0.1    ,0.1    ,89.8    
  インターネット利用（計）,965    ,9.4    ,0.7    ,0.1    ,0.1    ,89.6    
  インターネット非利用（含わからない）,27    ,-,3.7    ,-,-,96.3    
Ｆ４〔兄弟・姉妹の有無〕,,,,,,
  １人以上いる,1846    ,11.9    ,0.8    ,0.2    ,0.4    ,86.8    
  いない,1595    ,13.5    ,1.1    ,0.1    ,0.3    ,85.0    
小学生（計）,1080    ,12.2    ,1.1    ,0.4    ,0.6    ,85.7    
  １人以上いる,511    ,11.5    ,0.2    ,0.4    ,0.6    ,87.3    
  いない,569    ,12.8    ,1.9    ,0.4    ,0.5    ,84.4    
中学生（計）,1329    ,15.8    ,0.9    ,-,0.4    ,82.9    
  １人以上いる,740    ,15.1    ,1.2    ,-,0.4    ,83.2    
  いない,589    ,16.6    ,0.5    ,-,0.3    ,82.5    
高校生（計）,1007    ,9.0    ,0.8    ,0.1    ,0.1    ,90.0    
  １人以上いる,579    ,8.1    ,0.7    ,0.2    ,0.2    ,90.8    
  いない,428    ,10.3    ,0.9    ,-,-,88.8    
〔地域〕,,,,,,
北海道・東北,430    ,10.2    ,0.7    ,0.2    ,0.2    ,88.6    
北関東,540    ,11.9    ,0.7    ,-,0.2    ,87.2    
南関東,485    ,15.3    ,1.2    ,0.2    ,0.4    ,82.9    
東海・北陸・信越,693    ,12.7    ,0.9    ,-,0.7    ,85.7    
近畿,554    ,12.6    ,1.3    ,0.2    ,0.5    ,85.4    
中国・四国,326    ,15.0    ,1.2    ,0.3    ,-,83.4    
九州・沖縄,413    ,10.9    ,0.5    ,0.2    ,-,88.4    
〔都市規模〕,,,,,,
大都市（政令指定都市）,850    ,13.8    ,0.8    ,-,0.2    ,85.2    
人口２０万人以上の市,894    ,13.2    ,1.3    ,0.1    ,0.3    ,85.0    
