,,,,,,,,,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,,,,,,,,,
〔回答票３〕Ｑ３（Ａ１スマホ～Ｇ１インターネット接続テレビ計）あなたは、インターネットを使って何をしていますか。インターネットを利用している機器のそれぞれについて、この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,
,該当数,コミニュケーション（計）,ニュース（計）,情報検索（計）,地図・ナビゲーション（計）,音楽視聴（計）,動画視聴（計）,電子書籍（計）,ゲーム（計）,ショッピング・オークション（計）,その他（計）,わからない（計）
＊＊【　総　数　】＊＊,2615    ,66.2    ,24.4    ,62.2    ,26.8    ,61.5    ,69.0    ,11.6    ,71.0    ,11.4    ,7.1    ,2.6    
調査方法〔訪問・ＷＥＢ〕,,,,,,,,,,,,
訪問面接調査,2565    ,66.2    ,24.1    ,62.0    ,26.6    ,61.2    ,68.8    ,11.5    ,71.1    ,11.4    ,7.1    ,2.6    
ＷＥＢ調査,50    ,68.0    ,42.0    ,70.0    ,36.0    ,74.0    ,80.0    ,14.0    ,66.0    ,12.0    ,8.0    ,2.0    
〔性・学校種別〕,,,,,,,,,,,,
小学生（計）,572    ,28.7    ,9.1    ,48.4    ,6.1    ,28.7    ,53.7    ,3.0    ,73.8    ,4.5    ,8.9    ,4.2    
  男子,296    ,19.9    ,9.5    ,47.3    ,6.1    ,20.3    ,57.1    ,2.0    ,78.4    ,4.1    ,9.5    ,4.4    
  女子,276    ,38.0    ,8.7    ,49.6    ,6.2    ,37.7    ,50.0    ,4.0    ,68.8    ,5.1    ,8.3    ,4.0    
中学生（計）,1055    ,64.6    ,20.5    ,60.0    ,21.9    ,65.2    ,68.8    ,11.8    ,68.7    ,7.6    ,7.3    ,2.5    
