,,,,,,,,,,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,,,,,,,,,,
〔回答票４〕Ｑ４〔B-1携帯電話〕あなたは、平日(土日を除いて)１日に平均して、どのくらいの時間、インターネットを使いますか。インターネットを利用している機器について、それぞれお答えください。,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,
,該当数,使っていない,３０分未満,３０分以上１時間未満,１時間以上２時間未満,２時間以上３時間未満,３時間以上４時間未満,４時間以上５時間未満,５時間以上,わからない,２時間以上（計）,平均（分）,標準偏差
＊＊【　総　数　】＊＊,120    ,12.5    ,35.8    ,17.5    ,11.7    ,5.8    ,2.5    ,1.7    ,3.3    ,9.2    ,13.3    ,49.27    ,86.8    
調査方法〔訪問・ＷＥＢ〕,,,,,,,,,,,,,
訪問面接調査,119    ,12.6    ,36.1    ,17.6    ,11.8    ,5.9    ,2.5    ,1.7    ,2.5    ,9.2    ,12.6    ,44.17    ,68.8    
ＷＥＢ調査,1    ,-,-,-,-,-,-,-,100.0    ,-,100.0    ,600.00    ,-
〔性・学校種別〕,,,,,,,,,,,,,
小学生（計）,24    ,20.8    ,33.3    ,16.7    ,12.5    ,-,4.2    ,-,-,12.5    ,4.2    ,25.57    ,41.1    
  男子,7    ,28.6    ,28.6    ,14.3    ,14.3    ,-,14.3    ,-,-,-,14.3    ,39.43    ,65.9    
  女子,17    ,17.6    ,35.3    ,17.6    ,11.8    ,-,-,-,-,17.6    ,-,18.64    ,20.9    
中学生（計）,66    ,12.1    ,37.9    ,18.2    ,10.6    ,4.5    ,1.5    ,3.0    ,3.0    ,9.1    ,12.1    ,49.63    ,95.4    
  男子,18    ,11.1    ,50.0    ,22.2    ,5.6    ,-,-,-,-,11.1    ,-,17.19    ,15.6    
  女子,48    ,12.5    ,33.3    ,16.7    ,12.5    ,6.3    ,2.1    ,4.2    ,4.2    ,8.3    ,16.7    ,61.43    ,108.9    
高校生（計）,29    ,6.9    ,34.5    ,13.8    ,13.8    ,13.8    ,3.4    ,-,6.9    ,6.9    ,24.1    ,67.59    ,92.3    
  男子,12    ,16.7    ,33.3    ,-,33.3    ,16.7    ,-,-,-,-,16.7    ,42.92    ,44.1    
  女子,17    ,-,35.3    ,23.5    ,-,11.8    ,5.9    ,-,11.8    ,11.8    ,29.4    ,87.33    ,115.5    
〔啓発学習経験・学校種別〕,,,,,,,,,,,,,
  説明を受けたり学んだりした,108    ,11.1    ,34.3    ,18.5    ,12.0    ,6.5    ,2.8    ,1.9    ,2.8    ,10.2    ,13.9    ,50.52    ,87.5    
  教えてもらったり学んだりしたことはない,12    ,25.0    ,50.0    ,8.3    ,8.3    ,-,-,-,8.3    ,-,8.3    ,39.17    ,83.9    
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
小学生（計）,24    ,20.8    ,33.3    ,16.7    ,12.5    ,-,4.2    ,-,-,12.5    ,4.2    ,25.57    ,41.1    
  説明を受けたり学んだりした,21    ,14.3    ,33.3    ,19.0    ,14.3    ,-,4.8    ,-,-,14.3    ,4.8    ,29.28    ,43.4    
  教えてもらったり学んだりしたことはない,3    ,66.7    ,33.3    ,-,-,-,-,-,-,-,-,3.33    ,5.8    
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
中学生（計）,66    ,12.1    ,37.9    ,18.2    ,10.6    ,4.5    ,1.5    ,3.0    ,3.0    ,9.1    ,12.1    ,49.63    ,95.4    
  説明を受けたり学んだりした,62    ,11.3    ,35.5    ,19.4    ,11.3    ,4.8    ,1.6    ,3.2    ,3.2    ,9.7    ,12.9    ,52.38    ,98.2    
  教えてもらったり学んだりしたことはない,4    ,25.0    ,75.0    ,-,-,-,-,-,-,-,-,11.25    ,8.5    
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
高校生（計）,29    ,6.9    ,34.5    ,13.8    ,13.8    ,13.8    ,3.4    ,-,6.9    ,6.9    ,24.1    ,67.59    ,92.3    
  説明を受けたり学んだりした,24    ,8.3    ,33.3    ,12.5    ,12.5    ,16.7    ,4.2    ,-,4.2    ,8.3    ,25.0    ,64.09    ,87.1    
  教えてもらったり学んだりしたことはない,5    ,-,40.0    ,20.0    ,20.0    ,-,-,-,20.0    ,-,20.0    ,83.00    ,123.1    
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
〔家庭のルール・学校種別〕,,,,,,,,,,,,,
  ルールを決めている（計）,77    ,11.7    ,31.2    ,18.2    ,13.0    ,6.5    ,2.6    ,2.6    ,3.9    ,10.4    ,15.6    ,57.96    ,98.8    
  特にルールを決めていない,43    ,14.0    ,44.2    ,16.3    ,9.3    ,4.7    ,2.3    ,-,2.3    ,7.0    ,9.3    ,34.28    ,58.8    
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
小学生（計）,24    ,20.8    ,33.3    ,16.7    ,12.5    ,-,4.2    ,-,-,12.5    ,4.2    ,25.57    ,41.1    
  ルールを決めている（計）,18    ,16.7    ,27.8    ,16.7    ,16.7    ,-,5.6    ,-,-,16.7    ,5.6    ,32.40    ,46.8    
  特にルールを決めていない,6    ,33.3    ,50.0    ,16.7    ,-,-,-,-,-,-,-,8.50    ,11.6    
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
中学生（計）,66    ,12.1    ,37.9    ,18.2    ,10.6    ,4.5    ,1.5    ,3.0    ,3.0    ,9.1    ,12.1    ,49.63    ,95.4    
  ルールを決めている（計）,44    ,11.4    ,31.8    ,20.5    ,9.1    ,6.8    ,2.3    ,4.5    ,4.5    ,9.1    ,18.2    ,65.33    ,113.2    
  特にルールを決めていない,22    ,13.6    ,50.0    ,13.6    ,13.6    ,-,-,-,-,9.1    ,-,18.25    ,20.2    
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
高校生（計）,29    ,6.9    ,34.5    ,13.8    ,13.8    ,13.8    ,3.4    ,-,6.9    ,6.9    ,24.1    ,67.59    ,92.3    
  ルールを決めている（計）,15    ,6.7    ,33.3    ,13.3    ,20.0    ,13.3    ,-,-,6.7    ,6.7    ,20.0    ,64.29    ,96.7    
  特にルールを決めていない,14    ,7.1    ,35.7    ,14.3    ,7.1    ,14.3    ,7.1    ,-,7.1    ,7.1    ,28.6    ,71.15    ,91.2    
  わからない,-,-,-,-,-,-,-,-,-,-,-,-,-
Ｑ２〔インターネット利用・学校種別〕,,,,,,,,,,,,,
  インターネット利用（計）,120    ,12.5    ,35.8    ,17.5    ,11.7    ,5.8    ,2.5    ,1.7    ,3.3    ,9.2    ,13.3    ,49.27    ,86.8    
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-,-
小学生（計）,24    ,20.8    ,33.3    ,16.7    ,12.5    ,-,4.2    ,-,-,12.5    ,4.2    ,25.57    ,41.1    
  インターネット利用（計）,24    ,20.8    ,33.3    ,16.7    ,12.5    ,-,4.2    ,-,-,12.5    ,4.2    ,25.57    ,41.1    
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-,-
中学生（計）,66    ,12.1    ,37.9    ,18.2    ,10.6    ,4.5    ,1.5    ,3.0    ,3.0    ,9.1    ,12.1    ,49.63    ,95.4    
