,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,
〔回答票５〕Ｑ５〔D-2学習用タブレット〕あなたは、インターネットを利用する場合に、Ｗｉ-Ｆｉ（ワイファイ）などの無線ＬＡＮ（ラン）機能（きのう）を使うことがありますか。インターネットを利用している機器のそれぞれについて、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,
,,,,
,,,,
,青少年分析軸,,,
,該当数,使っている,使うことはない,わからない
＊＊【　総　数　】＊＊,139    ,74.8    ,12.2    ,12.9    
調査方法〔訪問・ＷＥＢ〕,,,,
訪問面接調査,138    ,74.6    ,12.3    ,13.0    
ＷＥＢ調査,1    ,100.0    ,-,-
〔性・学校種別〕,,,,
小学生（計）,34    ,67.6    ,11.8    ,20.6    
  男子,15    ,80.0    ,6.7    ,13.3    
  女子,19    ,57.9    ,15.8    ,26.3    
中学生（計）,90    ,75.6    ,13.3    ,11.1    
  男子,41    ,78.0    ,12.2    ,9.8    
  女子,49    ,73.5    ,14.3    ,12.2    
高校生（計）,15    ,86.7    ,6.7    ,6.7    
  男子,6    ,100.0    ,-,-
  女子,9    ,77.8    ,11.1    ,11.1    
〔啓発学習経験・学校種別〕,,,,
  説明を受けたり学んだりした,130    ,75.4    ,12.3    ,12.3    
  教えてもらったり学んだりしたことはない,7    ,71.4    ,-,28.6    
  わからない,2    ,50.0    ,50.0    ,-
小学生（計）,34    ,67.6    ,11.8    ,20.6    
  説明を受けたり学んだりした,27    ,70.4    ,11.1    ,18.5    
  教えてもらったり学んだりしたことはない,6    ,66.7    ,-,33.3    
  わからない,1    ,-,100.0    ,-
中学生（計）,90    ,75.6    ,13.3    ,11.1    
  説明を受けたり学んだりした,88    ,75.0    ,13.6    ,11.4    
  教えてもらったり学んだりしたことはない,1    ,100.0    ,-,-
  わからない,1    ,100.0    ,-,-
高校生（計）,15    ,86.7    ,6.7    ,6.7    
  説明を受けたり学んだりした,15    ,86.7    ,6.7    ,6.7    
  教えてもらったり学んだりしたことはない,-,-,-,-
  わからない,-,-,-,-
〔家庭のルール・学校種別〕,,,,
  ルールを決めている（計）,108    ,74.1    ,13.9    ,12.0    
  特にルールを決めていない,30    ,80.0    ,3.3    ,16.7    
  わからない,1    ,-,100.0    ,-
小学生（計）,34    ,67.6    ,11.8    ,20.6    
  ルールを決めている（計）,25    ,68.0    ,12.0    ,20.0    
  特にルールを決めていない,8    ,75.0    ,-,25.0    
  わからない,1    ,-,100.0    ,-
中学生（計）,90    ,75.6    ,13.3    ,11.1    
  ルールを決めている（計）,73    ,75.3    ,15.1    ,9.6    
  特にルールを決めていない,17    ,76.5    ,5.9    ,17.6    
  わからない,-,-,-,-
高校生（計）,15    ,86.7    ,6.7    ,6.7    
  ルールを決めている（計）,10    ,80.0    ,10.0    ,10.0    
  特にルールを決めていない,5    ,100.0    ,-,-
  わからない,-,-,-,-
Ｑ２〔インターネット利用・学校種別〕,,,,
  インターネット利用（計）,139    ,74.8    ,12.2    ,12.9    
  インターネット非利用（含わからない）,-,-,-,-
小学生（計）,34    ,67.6    ,11.8    ,20.6    
  インターネット利用（計）,34    ,67.6    ,11.8    ,20.6    
  インターネット非利用（含わからない）,-,-,-,-
中学生（計）,90    ,75.6    ,13.3    ,11.1    
  インターネット利用（計）,90    ,75.6    ,13.3    ,11.1    
  インターネット非利用（含わからない）,-,-,-,-
高校生（計）,15    ,86.7    ,6.7    ,6.7    
  インターネット利用（計）,15    ,86.7    ,6.7    ,6.7    
  インターネット非利用（含わからない）,-,-,-,-
Ｆ４〔兄弟・姉妹の有無〕,,,,
  １人以上いる,58    ,72.4    ,15.5    ,12.1    
  いない,81    ,76.5    ,9.9    ,13.6    
小学生（計）,34    ,67.6    ,11.8    ,20.6    
  １人以上いる,12    ,58.3    ,16.7    ,25.0    
  いない,22    ,72.7    ,9.1    ,18.2    
中学生（計）,90    ,75.6    ,13.3    ,11.1    
  １人以上いる,39    ,71.8    ,17.9    ,10.3    
  いない,51    ,78.4    ,9.8    ,11.8    
高校生（計）,15    ,86.7    ,6.7    ,6.7    
  １人以上いる,7    ,100.0    ,-,-
  いない,8    ,75.0    ,12.5    ,12.5    
〔地域〕,,,,
北海道・東北,10    ,50.0    ,30.0    ,20.0    
北関東,26    ,73.1    ,11.5    ,15.4    
南関東,18    ,77.8    ,11.1    ,11.1    
東海・北陸・信越,42    ,78.6    ,7.1    ,14.3    
近畿,18    ,77.8    ,5.6    ,16.7    
中国・四国,11    ,81.8    ,9.1    ,9.1    
九州・沖縄,14    ,71.4    ,28.6    ,-
〔都市規模〕,,,,
大都市（政令指定都市）,39    ,74.4    ,15.4    ,10.3    
人口２０万人以上の市,28    ,75.0    ,14.3    ,10.7    
人口１０万人以上の市,33    ,81.8    ,9.1    ,9.1    
人口１０万人未満の市,32    ,71.9    ,9.4    ,18.8    
郡部（町村）,7    ,57.1    ,14.3    ,28.6    
〔都道府県〕,,,,
北海道,6    ,50.0    ,16.7    ,33.3    
青森県,1    ,-,100.0    ,-
岩手県,-,-,-,-
宮城県,2    ,50.0    ,50.0    ,-
秋田県,-,-,-,-
山形県,-,-,-,-
福島県,1    ,100.0    ,-,-
茨城県,3    ,66.7    ,33.3    ,-
栃木県,4    ,100.0    ,-,-
群馬県,1    ,-,-,100.0    
埼玉県,9    ,66.7    ,11.1    ,22.2    
千葉県,9    ,77.8    ,11.1    ,11.1    
東京都,6    ,100.0    ,-,-
神奈川県,9    ,66.7    ,22.2    ,11.1    
新潟県,6    ,100.0    ,-,-
富山県,-,-,-,-
石川県,-,-,-,-
福井県,2    ,100.0    ,-,-
山梨県,3    ,66.7    ,-,33.3    
長野県,1    ,100.0    ,-,-
岐阜県,7    ,42.9    ,14.3    ,42.9    
静岡県,7    ,71.4    ,14.3    ,14.3    
愛知県,16    ,81.3    ,6.3    ,12.5    
三重県,3    ,100.0    ,-,-
滋賀県,-,-,-,-
京都府,1    ,100.0    ,-,-
大阪府,12    ,75.0    ,8.3    ,16.7    
兵庫県,4    ,100.0    ,-,-
奈良県,1    ,-,-,100.0    
和歌山県,-,-,-,-
鳥取県,1    ,100.0    ,-,-
島根県,-,-,-,-
岡山県,4    ,100.0    ,-,-
広島県,3    ,100.0    ,-,-
山口県,1    ,-,-,100.0    
徳島県,-,-,-,-
香川県,-,-,-,-
愛媛県,2    ,50.0    ,50.0    ,-
高知県,-,-,-,-
福岡県,3    ,66.7    ,33.3    ,-
佐賀県,3    ,33.3    ,66.7    ,-
長崎県,1    ,-,100.0    ,-
熊本県,5    ,100.0    ,-,-
大分県,-,-,-,-
宮崎県,2    ,100.0    ,-,-
鹿児島県,-,-,-,-
沖縄県,-,-,-,-
Ｑ１〔機器の利用状況〕,,,,
スマートフォン,40    ,75.0    ,15.0    ,10.0    
格安スマートフォン,-,-,-,-
機能限定・子供向けスマートフォン,4    ,75.0    ,25.0    ,-
契約切れスマートフォン,4    ,50.0    ,25.0    ,25.0    
携帯電話,17    ,70.6    ,5.9    ,23.5    
機能限定電話・子ども向け携帯電話,15    ,73.3    ,-,26.7    
ノートパソコン,43    ,74.4    ,11.6    ,14.0    
デスクトップパソコン,21    ,66.7    ,14.3    ,19.0    
タブレット,15    ,73.3    ,-,26.7    
学習用タブレット,139    ,74.8    ,12.2    ,12.9    
子供向け娯楽用タブレット,1    ,100.0    ,-,-
携帯音楽プレイヤー,50    ,90.0    ,4.0    ,6.0    
携帯ゲーム機,99    ,75.8    ,12.1    ,12.1    
据置型ゲーム機,60    ,76.7    ,13.3    ,10.0    
インターネット接続テレビ,3    ,66.7    ,33.3    ,-
利用している（計）,139    ,74.8    ,12.2    ,12.9    
いずれも利用していない,-,-,-,-
Ａスマートフォン（計）,46    ,73.9    ,15.2    ,10.9    
Ｂ携帯電話（計）,32    ,71.9    ,3.1    ,25.0    
Ｃパソコン（計）,62    ,71.0    ,12.9    ,16.1    
Ｄタブレット（計）,139    ,74.8    ,12.2    ,12.9    
Ｅ携帯音楽プレイヤー,50    ,90.0    ,4.0    ,6.0    
Ｆゲーム機（計）,107    ,75.7    ,13.1    ,11.2    
Ｇインターネット接続テレビ,3    ,66.7    ,33.3    ,-
Ａ・Ｂスマートフォン・携帯電話（計）,74    ,75.7    ,10.8    ,13.5    
Ａ・Ｂ機能限定や子供向け（計）,19    ,73.7    ,5.3    ,21.1    
Ａ・Ｂ機能限定や子供向け以外（計）,58    ,74.1    ,12.1    ,13.8    
