,,,,,,,,,,,,,,,,,,,,,,,,,
＜いずれかの機器でインターネットを使っている（Ｑ２で、1つ以上「１」を回答）方に＞,,,,,,,,,,,,,,,,,,,,,,,,,
〔回答票６〕Ｑ６　あなたは、インターネットを使っていて、このようなことがありますか。この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,,,,,,,,,
,該当数,悪口等のメール・メッセージ送られた,悪口等のメール・メッセージ送った,掲示板で自分や他人の情報書き込んだ,親に話しにくいサイトを見た,ゲームなどでお金を使いすぎた,差別内容掲載サイトにアクセスする,知らない人や、お店からメール来た,迷惑メッセージ・メールを送られた,ネットで知り合った人とメール等した,ネットで知り合った同性と会った,ネットで知り合った異性と会った,ネットで知り合った人との関係悩んだ,ネットにのめりこんで勉強できない,その他困ったことがある,メール受信関連（計）,メール送信関連（計）,メール関連（計）,サイトアクセス関連（計）,ＳＮＳ等関連（計）,その他（計）,あてはまるものがある（計）,あてはまるものはない,わからない,回答計
＊＊【　総　数　】＊＊,2615    ,3.8    ,1.1    ,3.4    ,2.1    ,1.9    ,0.6    ,16.6    ,22.6    ,11.1    ,2.6    ,1.1    ,0.8    ,12.5    ,1.5    ,29.4    ,1.1    ,29.5    ,6.6    ,11.7    ,14.0    ,40.5    ,58.5    ,1.0    ,141.3    
調査方法〔訪問・ＷＥＢ〕,,,,,,,,,,,,,,,,,,,,,,,,,
訪問面接調査,2565    ,3.7    ,1.1    ,3.2    ,1.9    ,1.8    ,0.6    ,16.4    ,22.5    ,11.0    ,2.6    ,1.1    ,0.9    ,12.2    ,1.5    ,29.2    ,1.1    ,29.3    ,6.3    ,11.7    ,13.8    ,40.1    ,58.9    ,1.0    ,140.4    
ＷＥＢ調査,50    ,6.0    ,2.0    ,12.0    ,12.0    ,6.0    ,-,30.0    ,30.0    ,12.0    ,4.0    ,4.0    ,-,28.0    ,2.0    ,38.0    ,2.0    ,38.0    ,24.0    ,12.0    ,28.0    ,60.0    ,40.0    ,-,188.0    
〔性・学校種別〕,,,,,,,,,,,,,,,,,,,,,,,,,
小学生（計）,572    ,3.0    ,1.0    ,0.9    ,1.2    ,0.2    ,-,4.4    ,2.8    ,3.8    ,0.7    ,0.7    ,0.5    ,5.8    ,1.2    ,8.9    ,1.0    ,8.9    ,1.9    ,4.5    ,6.8    ,16.4    ,81.5    ,2.1    ,109.8    
  男子,296    ,3.4    ,1.7    ,0.7    ,1.7    ,0.3    ,-,3.7    ,1.4    ,4.1    ,1.0    ,1.0    ,0.7    ,6.4    ,0.3    ,7.4    ,1.7    ,7.4    ,2.4    ,5.1    ,6.8    ,15.5    ,82.1    ,2.4    ,110.8    
  女子,276    ,2.5    ,0.4    ,1.1    ,0.7    ,-,-,5.1    ,4.3    ,3.6    ,0.4    ,0.4    ,0.4    ,5.1    ,2.2    ,10.5    ,0.4    ,10.5    ,1.4    ,4.0    ,6.9    ,17.4    ,80.8    ,1.8    ,108.7    
中学生（計）,1055    ,3.8    ,1.0    ,3.1    ,1.3    ,2.1    ,0.3    ,15.1    ,17.3    ,10.9    ,2.5    ,1.0    ,0.9    ,12.2    ,1.5    ,25.7    ,1.0    ,26.0    ,6.0    ,11.7    ,13.7    ,38.7    ,60.4    ,0.9    ,134.3    
  男子,507    ,3.2    ,0.8    ,1.0    ,1.8    ,3.7    ,0.6    ,12.8    ,12.6    ,8.3    ,1.2    ,1.0    ,0.4    ,12.2    ,1.4    ,19.9    ,0.8    ,20.3    ,5.9    ,8.5    ,13.6    ,33.7    ,65.1    ,1.2    ,127.2    
  女子,548    ,4.4    ,1.3    ,5.1    ,0.9    ,0.5    ,-,17.2    ,21.5    ,13.3    ,3.6    ,1.1    ,1.3    ,12.2    ,1.6    ,31.0    ,1.3    ,31.2    ,6.0    ,14.6    ,13.9    ,43.2    ,56.0    ,0.7    ,140.9    
高校生（計）,965    ,4.0    ,1.1    ,5.1    ,3.3    ,2.8    ,1.3    ,25.4    ,39.9    ,15.2    ,3.7    ,1.3    ,0.9    ,16.7    ,1.7    ,45.3    ,1.1    ,45.3    ,10.2    ,15.9    ,18.4    ,56.7    ,42.9    ,0.4    ,165.9    
  男子,464    ,2.8    ,1.3    ,3.9    ,5.4    ,3.7    ,1.3    ,23.9    ,37.9    ,14.7    ,2.4    ,1.5    ,0.9    ,15.7    ,1.7    ,42.2    ,1.3    ,42.2    ,11.2    ,14.9    ,17.7    ,54.1    ,45.7    ,0.2    ,162.9    
  女子,501    ,5.2    ,1.0    ,6.2    ,1.4    ,2.0    ,1.4    ,26.7    ,41.7    ,15.8    ,5.0    ,1.2    ,1.0    ,17.6    ,1.6    ,48.1    ,1.0    ,48.1    ,9.2    ,16.8    ,19.2    ,59.1    ,40.3    ,0.6    ,168.7    
〔啓発学習経験・学校種別〕,,,,,,,,,,,,,,,,,,,,,,,,,
  説明を受けたり学んだりした,2430    ,4.0    ,1.1    ,3.4    ,2.2    ,2.1    ,0.7    ,17.2    ,23.5    ,11.5    ,2.6    ,1.2    ,0.9    ,13.0    ,1.5    ,30.5    ,1.1    ,30.6    ,6.9    ,12.2    ,14.5    ,41.8    ,57.4    ,0.8    ,143.0    
  教えてもらったり学んだりしたことはない,155    ,1.3    ,0.6    ,2.6    ,0.6    ,-,-,9.7    ,11.6    ,3.2    ,1.3    ,-,-,5.8    ,1.9    ,14.8    ,0.6    ,14.8    ,2.6    ,3.9    ,7.7    ,22.6    ,74.2    ,3.2    ,116.1    
  わからない,30    ,3.3    ,3.3    ,3.3    ,-,-,-,10.0    ,10.0    ,13.3    ,6.7    ,-,-,6.7    ,-,16.7    ,3.3    ,16.7    ,3.3    ,13.3    ,6.7    ,23.3    ,70.0    ,6.7    ,133.3    
小学生（計）,572    ,3.0    ,1.0    ,0.9    ,1.2    ,0.2    ,-,4.4    ,2.8    ,3.8    ,0.7    ,0.7    ,0.5    ,5.8    ,1.2    ,8.9    ,1.0    ,8.9    ,1.9    ,4.5    ,6.8    ,16.4    ,81.5    ,2.1    ,109.8    
