,,,,,,,,,,,,,,
＜いずれかの機器でインターネットを使っている（Ｑ２で、1つ以上「１」を回答）方に＞,,,,,,,,,,,,,,
〔回答票７〕Ｑ７　あなたの家では、インターネットの使い方について何かルールがありますか。この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,
,該当数,利用する時間を決めている,利用する場所を決めている,メール・メッセージを送る相手の制限,利用サイト・アプリ内容を決めている,送信・投稿内容を決めている,利用者情報を漏れないようにしている,料金上限や課金方法を決めている,困ったときはすぐに保護者に連絡する,その他,ルールを決めている（計）,特にルールを決めていない,わからない,回答計
＊＊【　総　数　】＊＊,2615    ,27.2    ,18.6    ,7.4    ,12.3    ,11.7    ,17.5    ,21.6    ,25.2    ,1.8    ,63.1    ,35.8    ,1.0    ,180.2    
調査方法〔訪問・ＷＥＢ〕,,,,,,,,,,,,,,
訪問面接調査,2565    ,27.3    ,18.2    ,7.2    ,12.0    ,11.6    ,17.3    ,21.5    ,25.1    ,1.8    ,63.0    ,36.0    ,1.0    ,179.2    
ＷＥＢ調査,50    ,22.0    ,36.0    ,16.0    ,24.0    ,18.0    ,26.0    ,28.0    ,30.0    ,2.0    ,70.0    ,28.0    ,2.0    ,232.0    
〔性・学校種別〕,,,,,,,,,,,,,,
小学生（計）,572    ,42.5    ,29.2    ,9.8    ,14.3    ,5.9    ,11.5    ,18.9    ,25.3    ,3.7    ,74.1    ,23.6    ,2.3    ,187.1    
  男子,296    ,48.0    ,34.1    ,7.1    ,15.2    ,5.1    ,11.8    ,20.9    ,24.0    ,3.0    ,79.4    ,17.9    ,2.7    ,189.9    
  女子,276    ,36.6    ,23.9    ,12.7    ,13.4    ,6.9    ,11.2    ,16.7    ,26.8    ,4.3    ,68.5    ,29.7    ,1.8    ,184.1    
中学生（計）,1055    ,32.8    ,22.5    ,8.4    ,14.5    ,12.9    ,18.3    ,23.7    ,26.6    ,1.5    ,69.3    ,29.9    ,0.9    ,191.9    
  男子,507    ,33.5    ,19.9    ,5.3    ,11.2    ,8.7    ,14.4    ,22.5    ,20.7    ,1.2    ,62.7    ,36.5    ,0.8    ,174.8    
  女子,548    ,32.1    ,24.8    ,11.3    ,17.5    ,16.8    ,21.9    ,24.8    ,32.1    ,1.8    ,75.4    ,23.7    ,0.9    ,207.8    
高校生（計）,965    ,12.4    ,8.3    ,4.9    ,8.8    ,13.8    ,20.4    ,21.2    ,23.9    ,0.9    ,50.6    ,48.9    ,0.5    ,164.1    
  男子,464    ,11.0    ,6.0    ,3.4    ,7.3    ,11.2    ,15.9    ,19.2    ,16.4    ,0.4    ,43.3    ,56.0    ,0.6    ,147.6    
  女子,501    ,13.8    ,10.4    ,6.2    ,10.2    ,16.2    ,24.6    ,23.2    ,30.9    ,1.4    ,57.3    ,42.3    ,0.4    ,179.4    
〔啓発学習経験・学校種別〕,,,,,,,,,,,,,,
  説明を受けたり学んだりした,2430    ,27.4    ,18.8    ,7.7    ,12.8    ,12.4    ,18.2    ,22.6    ,26.1    ,1.9    ,64.4    ,34.9    ,0.7    ,183.5    
  教えてもらったり学んだりしたことはない,155    ,23.2    ,15.5    ,4.5    ,5.8    ,2.6    ,8.4    ,8.4    ,14.2    ,-,45.2    ,50.3    ,4.5    ,137.4    
  わからない,30    ,30.0    ,20.0    ,-,3.3    ,3.3    ,6.7    ,10.0    ,13.3    ,3.3    ,53.3    ,33.3    ,13.3    ,136.7    
小学生（計）,572    ,42.5    ,29.2    ,9.8    ,14.3    ,5.9    ,11.5    ,18.9    ,25.3    ,3.7    ,74.1    ,23.6    ,2.3    ,187.1    
  説明を受けたり学んだりした,482    ,43.4    ,29.9    ,10.8    ,15.8    ,6.4    ,12.2    ,20.7    ,27.0    ,4.4    ,76.3    ,22.6    ,1.0    ,194.2    
  教えてもらったり学んだりしたことはない,76    ,38.2    ,25.0    ,5.3    ,7.9    ,2.6    ,7.9    ,10.5    ,15.8    ,-,63.2    ,30.3    ,6.6    ,150.0    
  わからない,14    ,35.7    ,28.6    ,-,-,7.1    ,7.1    ,-,21.4    ,-,57.1    ,21.4    ,21.4    ,142.9    
中学生（計）,1055    ,32.8    ,22.5    ,8.4    ,14.5    ,12.9    ,18.3    ,23.7    ,26.6    ,1.5    ,69.3    ,29.9    ,0.9    ,191.9    
  説明を受けたり学んだりした,1012    ,33.3    ,22.8    ,8.7    ,15.0    ,13.4    ,18.9    ,24.2    ,27.1    ,1.5    ,70.3    ,29.0    ,0.8    ,194.7    
  教えてもらったり学んだりしたことはない,33    ,18.2    ,12.1    ,3.0    ,3.0    ,-,6.1    ,9.1    ,18.2    ,-,42.4    ,54.5    ,3.0    ,127.3    
  わからない,10    ,30.0    ,20.0    ,-,-,-,-,20.0    ,10.0    ,10.0    ,60.0    ,40.0    ,-,130.0    
高校生（計）,965    ,12.4    ,8.3    ,4.9    ,8.8    ,13.8    ,20.4    ,21.2    ,23.9    ,0.9    ,50.6    ,48.9    ,0.5    ,164.1    
  説明を受けたり学んだりした,916    ,12.9    ,8.6    ,4.9    ,9.0    ,14.3    ,20.9    ,22.1    ,24.8    ,1.0    ,52.2    ,47.5    ,0.3    ,166.2    
  教えてもらったり学んだりしたことはない,43    ,2.3    ,2.3    ,4.7    ,4.7    ,4.7    ,11.6    ,4.7    ,9.3    ,-,18.6    ,79.1    ,2.3    ,125.6    
  わからない,6    ,16.7    ,-,-,16.7    ,-,16.7    ,16.7    ,-,-,33.3    ,50.0    ,16.7    ,133.3    
〔家庭のルール・学校種別〕,,,,,,,,,,,,,,
  ルールを決めている（計）,1651    ,43.1    ,29.4    ,11.7    ,19.4    ,18.5    ,27.7    ,34.3    ,40.0    ,2.8    ,100.0    ,-,-,227.0    
  特にルールを決めていない,937    ,-,-,-,-,-,-,-,-,-,-,100.0    ,-,100.0    
  わからない,27    ,-,-,-,-,-,-,-,-,-,-,-,100.0    ,100.0    
小学生（計）,572    ,42.5    ,29.2    ,9.8    ,14.3    ,5.9    ,11.5    ,18.9    ,25.3    ,3.7    ,74.1    ,23.6    ,2.3    ,187.1    
  ルールを決めている（計）,424    ,57.3    ,39.4    ,13.2    ,19.3    ,8.0    ,15.6    ,25.5    ,34.2    ,5.0    ,100.0    ,-,-,217.5    
  特にルールを決めていない,135    ,-,-,-,-,-,-,-,-,-,-,100.0    ,-,100.0    
  わからない,13    ,-,-,-,-,-,-,-,-,-,-,-,100.0    ,100.0    
中学生（計）,1055    ,32.8    ,22.5    ,8.4    ,14.5    ,12.9    ,18.3    ,23.7    ,26.6    ,1.5    ,69.3    ,29.9    ,0.9    ,191.9    
  ルールを決めている（計）,731    ,47.3    ,32.4    ,12.2    ,20.9    ,18.6    ,26.4    ,34.2    ,38.4    ,2.2    ,100.0    ,-,-,232.7    
  特にルールを決めていない,315    ,-,-,-,-,-,-,-,-,-,-,100.0    ,-,100.0    
  わからない,9    ,-,-,-,-,-,-,-,-,-,-,-,100.0    ,100.0    
高校生（計）,965    ,12.4    ,8.3    ,4.9    ,8.8    ,13.8    ,20.4    ,21.2    ,23.9    ,0.9    ,50.6    ,48.9    ,0.5    ,164.1    
  ルールを決めている（計）,488    ,24.6    ,16.4    ,9.6    ,17.4    ,27.3    ,40.4    ,42.0    ,47.3    ,1.8    ,100.0    ,-,-,226.8    
  特にルールを決めていない,472    ,-,-,-,-,-,-,-,-,-,-,100.0    ,-,100.0    
  わからない,5    ,-,-,-,-,-,-,-,-,-,-,-,100.0    ,100.0    
Ｑ２〔インターネット利用・学校種別〕,,,,,,,,,,,,,,
  インターネット利用（計）,2615    ,27.2    ,18.6    ,7.4    ,12.3    ,11.7    ,17.5    ,21.6    ,25.2    ,1.8    ,63.1    ,35.8    ,1.0    ,180.2    
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-,-,-
小学生（計）,572    ,42.5    ,29.2    ,9.8    ,14.3    ,5.9    ,11.5    ,18.9    ,25.3    ,3.7    ,74.1    ,23.6    ,2.3    ,187.1    
  インターネット利用（計）,572    ,42.5    ,29.2    ,9.8    ,14.3    ,5.9    ,11.5    ,18.9    ,25.3    ,3.7    ,74.1    ,23.6    ,2.3    ,187.1    
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-,-,-
