,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＜全員に＞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
〔回答票１〕Ｑ１　あなたは、下記の機器を利用していますか。この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,スマートフォン,格安スマートフォン,機能限定・子供向けスマートフォン,契約切れスマートフォン,携帯電話,機能限定電話・子ども向け携帯電話,ノートパソコン,デスクトップパソコン,タブレット,学習用タブレット,子供向け娯楽用タブレット,携帯音楽プレイヤー,携帯ゲーム機,据置型ゲーム機,インターネット接続テレビ,利用している（計）,いずれも利用していない,Ａスマートフォン（計）,Ｂ携帯電話（計）,Ｃパソコン（計）,Ｄタブレット（計）,Ｅ携帯音楽プレイヤー,Ｆゲーム機（計）,Ｇインターネット接続テレビ,Ａ・Ｂスマートフォン・携帯電話（計）,Ａ・Ｂ機能限定や子供向け（計）,Ａ・Ｂ機能限定や子供向け以外（計）,回答計
＊＊【　総　数　】＊＊,3441    ,44.8    ,0.6    ,1.7    ,2.9    ,11.4    ,8.9    ,24.6    ,11.9    ,14.0    ,5.9    ,0.3    ,25.4    ,43.4    ,25.9    ,3.3    ,91.3    ,8.7    ,48.8    ,20.2    ,34.9    ,19.4    ,25.4    ,48.8    ,3.3    ,66.4    ,10.7    ,57.1    ,233.8    
調査方法〔訪問・ＷＥＢ〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
訪問面接調査,3385    ,44.5    ,0.6    ,1.8    ,3.0    ,11.4    ,9.0    ,24.5    ,11.9    ,13.9    ,5.9    ,0.3    ,25.3    ,43.5    ,25.8    ,3.2    ,91.2    ,8.8    ,48.5    ,20.2    ,34.8    ,19.3    ,25.3    ,48.9    ,3.2    ,66.1    ,10.7    ,56.8    ,233.3    
ＷＥＢ調査,56    ,64.3    ,1.8    ,-,-,10.7    ,7.1    ,30.4    ,12.5    ,19.6    ,1.8    ,-,35.7    ,41.1    ,32.1    ,7.1    ,98.2    ,1.8    ,66.1    ,17.9    ,42.9    ,21.4    ,35.7    ,44.6    ,7.1    ,82.1    ,7.1    ,75.0    ,266.1    
〔性・学校種別〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小学生（計）,1080    ,11.7    ,0.3    ,2.8    ,2.9    ,10.8    ,21.9    ,18.7    ,8.3    ,14.3    ,6.1    ,0.6    ,9.8    ,55.7    ,31.5    ,2.4    ,84.2    ,15.8    ,17.1    ,32.6    ,26.3    ,20.1    ,9.8    ,60.4    ,2.4    ,46.1    ,24.6    ,23.8    ,213.5    
  男子,534    ,11.4    ,0.4    ,1.7    ,2.8    ,7.7    ,19.9    ,20.8    ,8.2    ,16.3    ,5.4    ,0.7    ,7.1    ,61.8    ,38.8    ,2.4    ,85.0    ,15.0    ,15.7    ,27.3    ,28.3    ,21.0    ,7.1    ,67.6    ,2.4    ,40.1    ,21.5    ,21.0    ,220.4    
  女子,546    ,11.9    ,0.2    ,3.8    ,2.9    ,13.9    ,23.8    ,16.7    ,8.4    ,12.3    ,6.8    ,0.4    ,12.5    ,49.8    ,24.4    ,2.4    ,83.3    ,16.7    ,18.5    ,37.7    ,24.4    ,19.2    ,12.5    ,53.3    ,2.4    ,52.0    ,27.7    ,26.6    ,206.8    
中学生（計）,1329    ,37.3    ,1.0    ,1.7    ,3.7    ,16.7    ,5.0    ,25.6    ,11.7    ,17.1    ,9.0    ,0.2    ,31.0    ,42.6    ,26.4    ,3.8    ,91.5    ,8.5    ,41.9    ,21.4    ,35.6    ,25.1    ,31.0    ,49.0    ,3.8    ,60.4    ,6.6    ,55.1    ,241.2    
  男子,654    ,33.3    ,0.9    ,1.8    ,4.0    ,13.5    ,4.3    ,25.1    ,12.2    ,17.7    ,8.1    ,0.2    ,27.1    ,51.8    ,33.5    ,4.4    ,89.8    ,10.2    ,38.1    ,17.6    ,35.6    ,24.8    ,27.1    ,59.9    ,4.4    ,53.7    ,6.1    ,48.6    ,248.2    
