,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＜いずれかの機器でインターネットを使っている（Ｑ２で、1つ以上「１」を回答）方に＞,,,,,,,,,,,,,,,,,,,,,,,,,,,,
〔回答票５〕Ｑ５（無線ＬＡＮ利用まとめ）あなたは、インターネットを利用する場合に、Ｗｉ-Ｆｉ（ワイファイ）などの無線ＬＡＮ（ラン）機能（きのう）を使うことがありますか。インターネットを利用している機器のそれぞれについて、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,,,,,,,,,,,,
,該当数,スマートフォン,格安スマートフォン,機能限定・子供向けスマートフォン,契約切れスマートフォン,携帯電話,機能限定電話・子ども向け携帯電話,ノートパソコン,デスクトップパソコン,タブレット,学習用タブレット,子供向け娯楽用タブレット,携帯音楽プレイヤー,携帯ゲーム機,据置型ゲーム機,インターネット接続テレビ,無線ＬＡＮ利用（計）,無線ＬＡＮ非利用,Ａスマートフォン（計）,Ｂ携帯電話（計）,Ｃパソコン（計）,Ｄタブレット（計）,Ｅ携帯音楽プレイヤー,Ｆゲーム機（計）,Ｇインターネット接続テレビ,Ａ・Ｂスマートフォン・携帯電話（計）,Ａ・Ｂ機能限定や子供向け（計）,Ａ・Ｂ機能限定や子供向け以外（計）
＊＊【　総　数　】＊＊,2615    ,43.8    ,0.5    ,0.4    ,2.5    ,1.0    ,0.3    ,20.5    ,8.2    ,13.5    ,4.0    ,0.2    ,8.6    ,17.1    ,6.0    ,1.0    ,100.0    ,-,46.5    ,1.3    ,27.6    ,17.1    ,8.6    ,18.9    ,1.0    ,47.5    ,0.7    ,46.9    
調査方法〔訪問・ＷＥＢ〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,
訪問面接調査,2565    ,43.7    ,0.5    ,0.4    ,2.5    ,1.0    ,0.3    ,20.4    ,8.1    ,13.4    ,4.0    ,0.2    ,8.6    ,17.1    ,6.0    ,1.0    ,100.0    ,-,46.4    ,1.3    ,27.4    ,17.0    ,8.6    ,18.9    ,1.0    ,47.5    ,0.7    ,46.9    
ＷＥＢ調査,50    ,50.0    ,-,-,-,-,-,24.0    ,10.0    ,20.0    ,2.0    ,-,8.0    ,16.0    ,8.0    ,-,100.0    ,-,50.0    ,-,34.0    ,22.0    ,8.0    ,18.0    ,-,50.0    ,-,50.0    
〔性・学校種別〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小学生（計）,572    ,11.7    ,0.2    ,0.3    ,4.0    ,1.0    ,0.5    ,18.5    ,6.1    ,17.3    ,4.0    ,0.3    ,3.3    ,32.5    ,7.5    ,0.5    ,100.0    ,-,15.9    ,1.6    ,24.1    ,21.0    ,3.3    ,33.4    ,0.5    ,17.0    ,0.9    ,16.3    
  男子,296    ,10.5    ,-,0.3    ,3.7    ,0.7    ,0.3    ,18.6    ,5.4    ,18.6    ,4.1    ,0.7    ,2.7    ,36.8    ,9.1    ,0.3    ,100.0    ,-,13.9    ,1.0    ,24.0    ,22.0    ,2.7    ,37.8    ,0.3    ,14.9    ,0.7    ,14.2    
  女子,276    ,13.0    ,0.4    ,0.4    ,4.3    ,1.4    ,0.7    ,18.5    ,6.9    ,15.9    ,4.0    ,-,4.0    ,27.9    ,5.8    ,0.7    ,100.0    ,-,18.1    ,2.2    ,24.3    ,19.9    ,4.0    ,28.6    ,0.7    ,19.2    ,1.1    ,18.5    
中学生（計）,1055    ,35.5    ,0.9    ,0.4    ,3.0    ,1.0    ,0.4    ,20.3    ,8.3    ,16.5    ,6.4    ,0.2    ,12.1    ,17.2    ,6.4    ,1.4    ,100.0    ,-,39.0    ,1.4    ,27.3    ,22.5    ,12.1    ,19.4    ,1.4    ,40.2    ,0.8    ,39.4    
  男子,507    ,34.7    ,0.8    ,0.2    ,3.7    ,0.6    ,0.6    ,22.1    ,9.7    ,18.5    ,6.3    ,0.2    ,12.2    ,24.9    ,10.5    ,2.0    ,100.0    ,-,38.1    ,1.2    ,30.2    ,23.9    ,12.2    ,28.0    ,2.0    ,39.3    ,0.8    ,38.5    
  女子,548    ,36.3    ,0.9    ,0.5    ,2.4    ,1.5    ,0.2    ,18.6    ,7.1    ,14.6    ,6.6    ,0.2    ,12.0    ,10.0    ,2.6    ,0.9    ,100.0    ,-,39.8    ,1.6    ,24.6    ,21.2    ,12.0    ,11.5    ,0.9    ,41.1    ,0.7    ,40.3    
高校生（計）,965    ,71.2    ,0.2    ,0.5    ,1.0    ,0.9    ,-,22.2    ,9.3    ,8.2    ,1.3    ,-,7.9    ,8.0    ,4.9    ,0.8    ,100.0    ,-,72.2    ,0.9    ,30.3    ,9.3    ,7.9    ,9.7    ,0.8    ,73.1    ,0.5    ,72.6    
  男子,464    ,72.4    ,0.4    ,0.4    ,1.1    ,0.9    ,-,21.8    ,7.5    ,8.6    ,1.3    ,-,8.8    ,11.9    ,6.9    ,0.4    ,100.0    ,-,73.5    ,0.9    ,28.7    ,9.7    ,8.8    ,14.0    ,0.4    ,74.1    ,0.4    ,73.9    
  女子,501    ,70.1    ,-,0.6    ,1.0    ,1.0    ,-,22.6    ,11.0    ,7.8    ,1.4    ,-,7.0    ,4.4    ,3.0    ,1.2    ,100.0    ,-,71.1    ,1.0    ,31.7    ,9.0    ,7.0    ,5.8    ,1.2    ,72.1    ,0.6    ,71.5    
