,,,,,,,,,,,,,,
＜全員に＞,,,,,,,,,,,,,,
〔回答票８〕Ｑ８　あなたは、青少年に不適切（ふてきせつ）なサイト（出会い系サイトやアダルトサイトなど）やネットいじめの問題などインターネットの危険性（きけんせい）について、これまで説明を受けたり学んだりしたことがありますか。この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,
,総数,学校で教えてもらった,親（保護者）から教えてもらった,兄弟・姉妹から教えてもらった,機器の購入時に販売員より説明された,機器の購入時に資料をもらった,友だちから教えてもらった,テレビや本・パンフレットで知った,インターネットで知った,その他,説明を受けたり学んだりした（計）,教えてもらったり学んだりしない,わからない,回答計
＊＊【　総　数　】＊＊,3441    ,85.9    ,38.3    ,3.5    ,5.0    ,3.1    ,9.8    ,16.5    ,6.9    ,0.2    ,90.6    ,7.8    ,1.7    ,178.6    
調査方法〔訪問・ＷＥＢ〕,,,,,,,,,,,,,,
訪問面接調査,3385    ,85.8    ,38.2    ,3.5    ,5.0    ,3.0    ,9.5    ,16.4    ,6.7    ,0.2    ,90.5    ,7.8    ,1.6    ,177.8    
ＷＥＢ調査,56    ,89.3    ,41.1    ,8.9    ,5.4    ,7.1    ,28.6    ,25.0    ,16.1    ,-,92.9    ,3.6    ,3.6    ,228.6    
〔性・学校種別〕,,,,,,,,,,,,,,
小学生（計）,1080    ,70.7    ,41.8    ,3.4    ,1.7    ,1.3    ,4.5    ,13.9    ,1.6    ,0.3    ,80.9    ,15.6    ,3.4    ,158.2    
  男子,534    ,68.4    ,41.8    ,3.0    ,1.3    ,1.3    ,4.5    ,13.1    ,1.5    ,0.6    ,80.3    ,15.4    ,4.3    ,155.1    
  女子,546    ,73.1    ,41.8    ,3.8    ,2.0    ,1.3    ,4.6    ,14.7    ,1.6    ,-,81.5    ,15.9    ,2.6    ,161.4    
中学生（計）,1329    ,92.9    ,40.2    ,3.3    ,4.6    ,2.9    ,11.4    ,15.9    ,7.4    ,0.2    ,95.3    ,3.7    ,1.1    ,183.4    
  男子,654    ,91.7    ,38.4    ,2.6    ,4.3    ,3.1    ,11.5    ,15.4    ,8.4    ,0.2    ,94.8    ,3.8    ,1.4    ,180.7    
  女子,675    ,93.9    ,41.9    ,4.0    ,4.9    ,2.7    ,11.3    ,16.3    ,6.5    ,0.1    ,95.7    ,3.6    ,0.7    ,185.9    
高校生（計）,1007    ,93.0    ,32.4    ,3.9    ,9.0    ,4.9    ,12.9    ,20.4    ,11.5    ,0.3    ,94.8    ,4.6    ,0.6    ,193.4    
  男子,491    ,92.1    ,28.7    ,3.3    ,8.1    ,3.9    ,11.8    ,18.5    ,13.0    ,0.2    ,94.1    ,5.3    ,0.6    ,185.5    
  女子,516    ,94.0    ,35.9    ,4.5    ,9.9    ,5.8    ,14.0    ,22.1    ,10.1    ,0.4    ,95.5    ,3.9    ,0.6    ,201.0    
〔啓発学習経験・学校種別〕,,,,,,,,,,,,,,
  説明を受けたり学んだりした,3117    ,94.8    ,42.3    ,3.9    ,5.5    ,3.4    ,10.8    ,18.2    ,7.6    ,0.3    ,100.0    ,-,-,186.8    
  教えてもらったり学んだりしたことはない,267    ,-,-,-,-,-,-,-,-,-,-,100.0    ,-,100.0    
  わからない,57    ,-,-,-,-,-,-,-,-,-,-,-,100.0    ,100.0    
小学生（計）,1080    ,70.7    ,41.8    ,3.4    ,1.7    ,1.3    ,4.5    ,13.9    ,1.6    ,0.3    ,80.9    ,15.6    ,3.4    ,158.2    
  説明を受けたり学んだりした,874    ,87.4    ,51.6    ,4.2    ,2.1    ,1.6    ,5.6    ,17.2    ,1.9    ,0.3    ,100.0    ,-,-,172.0    
  教えてもらったり学んだりしたことはない,169    ,-,-,-,-,-,-,-,-,-,-,100.0    ,-,100.0    
  わからない,37    ,-,-,-,-,-,-,-,-,-,-,-,100.0    ,100.0    
中学生（計）,1329    ,92.9    ,40.2    ,3.3    ,4.6    ,2.9    ,11.4    ,15.9    ,7.4    ,0.2    ,95.3    ,3.7    ,1.1    ,183.4    
  説明を受けたり学んだりした,1266    ,97.5    ,42.2    ,3.5    ,4.8    ,3.0    ,11.9    ,16.7    ,7.8    ,0.2    ,100.0    ,-,-,187.5    
  教えてもらったり学んだりしたことはない,49    ,-,-,-,-,-,-,-,-,-,-,100.0    ,-,100.0    
  わからない,14    ,-,-,-,-,-,-,-,-,-,-,-,100.0    ,100.0    
高校生（計）,1007    ,93.0    ,32.4    ,3.9    ,9.0    ,4.9    ,12.9    ,20.4    ,11.5    ,0.3    ,94.8    ,4.6    ,0.6    ,193.4    
  説明を受けたり学んだりした,955    ,98.1    ,34.1    ,4.1    ,9.5    ,5.1    ,13.6    ,21.5    ,12.1    ,0.3    ,100.0    ,-,-,198.5    
  教えてもらったり学んだりしたことはない,46    ,-,-,-,-,-,-,-,-,-,-,100.0    ,-,100.0    
  わからない,6    ,-,-,-,-,-,-,-,-,-,-,-,100.0    ,100.0    
〔家庭のルール・学校種別〕,,,,,,,,,,,,,,
