,,,
＜全員に＞,,,
Ｆ１　あなたの性別を教えて下さい。（１つだけ）,,,
,,,
,,,
,青少年分析軸,,
,総数,男性,女性
＊＊【　総　数　】＊＊,3441    ,49.1    ,50.9    
調査方法〔訪問・ＷＥＢ〕,,,
訪問面接調査,3385    ,49.1    ,50.9    
ＷＥＢ調査,56    ,50.0    ,50.0    
〔性・学校種別〕,,,
小学生（計）,1080    ,49.4    ,50.6    
  男子,534    ,100.0    ,-
  女子,546    ,-,100.0    
中学生（計）,1329    ,49.2    ,50.8    
  男子,654    ,100.0    ,-
  女子,675    ,-,100.0    
高校生（計）,1007    ,48.8    ,51.2    
  男子,491    ,100.0    ,-
  女子,516    ,-,100.0    
〔啓発学習経験・学校種別〕,,,
  説明を受けたり学んだりした,3117    ,48.8    ,51.2    
  教えてもらったり学んだりしたことはない,267    ,50.6    ,49.4    
  わからない,57    ,61.4    ,38.6    
小学生（計）,1080    ,49.4    ,50.6    
  説明を受けたり学んだりした,874    ,49.1    ,50.9    
  教えてもらったり学んだりしたことはない,169    ,48.5    ,51.5    
  わからない,37    ,62.2    ,37.8    
中学生（計）,1329    ,49.2    ,50.8    
  説明を受けたり学んだりした,1266    ,49.0    ,51.0    
  教えてもらったり学んだりしたことはない,49    ,51.0    ,49.0    
  わからない,14    ,64.3    ,35.7    
高校生（計）,1007    ,48.8    ,51.2    
  説明を受けたり学んだりした,955    ,48.4    ,51.6    
  教えてもらったり学んだりしたことはない,46    ,56.5    ,43.5    
  わからない,6    ,50.0    ,50.0    
〔家庭のルール・学校種別〕,,,
  ルールを決めている（計）,1651    ,45.8    ,54.2    
  特にルールを決めていない,937    ,53.9    ,46.1    
  わからない,27    ,55.6    ,44.4    
小学生（計）,572    ,51.7    ,48.3    
  ルールを決めている（計）,424    ,55.4    ,44.6    
  特にルールを決めていない,135    ,39.3    ,60.7    
  わからない,13    ,61.5    ,38.5    
中学生（計）,1055    ,48.1    ,51.9    
  ルールを決めている（計）,731    ,43.5    ,56.5    
  特にルールを決めていない,315    ,58.7    ,41.3    
  わからない,9    ,44.4    ,55.6    
高校生（計）,965    ,48.1    ,51.9    
  ルールを決めている（計）,488    ,41.2    ,58.8    
  特にルールを決めていない,472    ,55.1    ,44.9    
  わからない,5    ,60.0    ,40.0    
Ｑ２〔インターネット利用・学校種別〕,,,
  インターネット利用（計）,2615    ,48.8    ,51.2    
  インターネット非利用（含わからない）,527    ,48.6    ,51.4    
小学生（計）,909    ,49.9    ,50.1    
  インターネット利用（計）,572    ,51.7    ,48.3    
  インターネット非利用（含わからない）,337    ,46.9    ,53.1    
中学生（計）,1216    ,48.3    ,51.7    
  インターネット利用（計）,1055    ,48.1    ,51.9    
  インターネット非利用（含わからない）,161    ,49.7    ,50.3    
高校生（計）,992    ,48.4    ,51.6    
  インターネット利用（計）,965    ,48.1    ,51.9    
  インターネット非利用（含わからない）,27    ,59.3    ,40.7    
Ｆ４〔兄弟・姉妹の有無〕,,,
  １人以上いる,1846    ,48.2    ,51.8    
  いない,1595    ,50.2    ,49.8    
小学生（計）,1080    ,49.4    ,50.6    
  １人以上いる,511    ,47.4    ,52.6    
  いない,569    ,51.3    ,48.7    
中学生（計）,1329    ,49.2    ,50.8    
  １人以上いる,740    ,48.1    ,51.9    
  いない,589    ,50.6    ,49.4    
高校生（計）,1007    ,48.8    ,51.2    
  １人以上いる,579    ,49.1    ,50.9    
  いない,428    ,48.4    ,51.6    
〔地域〕,,,
北海道・東北,430    ,46.5    ,53.5    
北関東,540    ,48.5    ,51.5    
南関東,485    ,47.6    ,52.4    
東海・北陸・信越,693    ,49.6    ,50.4    
近畿,554    ,50.4    ,49.6    
中国・四国,326    ,47.9    ,52.1    
九州・沖縄,413    ,52.8    ,47.2    
〔都市規模〕,,,
大都市（政令指定都市）,850    ,49.1    ,50.9    
人口２０万人以上の市,894    ,50.2    ,49.8    
人口１０万人以上の市,592    ,48.1    ,51.9    
人口１０万人未満の市,796    ,48.6    ,51.4    
郡部（町村）,309    ,49.2    ,50.8    
〔都道府県〕,,,
北海道,162    ,47.5    ,52.5    
青森県,60    ,50.0    ,50.0    
岩手県,30    ,40.0    ,60.0    
宮城県,80    ,41.3    ,58.8    
秋田県,26    ,42.3    ,57.7    
山形県,29    ,48.3    ,51.7    
福島県,43    ,53.5    ,46.5    
茨城県,82    ,56.1    ,43.9    
栃木県,69    ,52.2    ,47.8    
群馬県,41    ,36.6    ,63.4    
埼玉県,174    ,46.6    ,53.4    
千葉県,174    ,48.3    ,51.7    
東京都,237    ,50.6    ,49.4    
神奈川県,207    ,43.0    ,57.0    
新潟県,66    ,47.0    ,53.0    
富山県,52    ,42.3    ,57.7    
石川県,28    ,53.6    ,46.4    
福井県,34    ,44.1    ,55.9    
山梨県,41    ,53.7    ,46.3    
長野県,58    ,53.4    ,46.6    
岐阜県,56    ,35.7    ,64.3    
静岡県,104    ,55.8    ,44.2    
愛知県,241    ,51.0    ,49.0    
三重県,54    ,53.7    ,46.3    
滋賀県,44    ,70.5    ,29.5    
京都府,72    ,54.2    ,45.8    
大阪府,233    ,44.2    ,55.8    
兵庫県,147    ,52.4    ,47.6    
奈良県,31    ,51.6    ,48.4    
和歌山県,27    ,48.1    ,51.9    
鳥取県,14    ,57.1    ,42.9    
島根県,21    ,33.3    ,66.7    
岡山県,65    ,50.8    ,49.2    
広島県,72    ,45.8    ,54.2    
山口県,45    ,53.3    ,46.7    
徳島県,26    ,50.0    ,50.0    
香川県,33    ,39.4    ,60.6    
愛媛県,34    ,61.8    ,38.2    
高知県,16    ,25.0    ,75.0    
福岡県,155    ,53.5    ,46.5    
佐賀県,20    ,40.0    ,60.0    
長崎県,44    ,47.7    ,52.3    
熊本県,43    ,60.5    ,39.5    
大分県,31    ,58.1    ,41.9    
宮崎県,40    ,50.0    ,50.0    
鹿児島県,33    ,54.5    ,45.5    
沖縄県,47    ,51.1    ,48.9    
Ｑ１〔機器の利用状況〕,,,
スマートフォン,1541    ,46.9    ,53.1    
格安スマートフォン,22    ,54.5    ,45.5    
機能限定・子供向けスマートフォン,60    ,41.7    ,58.3    
契約切れスマートフォン,100    ,53.0    ,47.0    
携帯電話,392    ,39.3    ,60.7    
機能限定電話・子ども向け携帯電話,307    ,44.0    ,56.0    
ノートパソコン,846    ,48.8    ,51.2    
デスクトップパソコン,409    ,47.7    ,52.3    
タブレット,483    ,52.0    ,48.0    
学習用タブレット,202    ,44.1    ,55.9    
子供向け娯楽用タブレット,9    ,55.6    ,44.4    
携帯音楽プレイヤー,875    ,42.1    ,57.9    
携帯ゲーム機,1495    ,58.7    ,41.3    
据置型ゲーム機,891    ,62.5    ,37.5    
インターネット接続テレビ,114    ,45.6    ,54.4    
利用している（計）,3142    ,48.8    ,51.2    
いずれも利用していない,299    ,52.8    ,47.2    
Ａスマートフォン（計）,1678    ,46.8    ,53.2    
Ｂ携帯電話（計）,694    ,41.2    ,58.8    
Ｃパソコン（計）,1202    ,48.5    ,51.5    
Ｄタブレット（計）,666    ,49.2    ,50.8    
Ｅ携帯音楽プレイヤー,875    ,42.1    ,57.9    
Ｆゲーム機（計）,1679    ,58.8    ,41.2    
Ｇインターネット接続テレビ,114    ,45.6    ,54.4    
Ａ・Ｂスマートフォン・携帯電話（計）,2285    ,45.4    ,54.6    
Ａ・Ｂ機能限定や子供向け（計）,367    ,43.6    ,56.4    
Ａ・Ｂ機能限定や子供向け以外（計）,1966    ,45.8    ,54.2    
【全数】Ｑ２〔ネット利用状況（ネット利用まとめ）〕,,,
スマートフォン,1475    ,46.6    ,53.4    
格安スマートフォン,19    ,52.6    ,47.4    
機能限定・子供向けスマートフォン,28    ,32.1    ,67.9    
契約切れスマートフォン,73    ,52.1    ,47.9    
携帯電話,120    ,30.8    ,69.2    
機能限定電話・子ども向け携帯電話,30    ,50.0    ,50.0    
ノートパソコン,793    ,48.4    ,51.6    
デスクトップパソコン,380    ,46.8    ,53.2    
タブレット,434    ,52.8    ,47.2    
学習用タブレット,139    ,44.6    ,55.4    
子供向け娯楽用タブレット,6    ,83.3    ,16.7    
携帯音楽プレイヤー,327    ,49.5    ,50.5    
携帯ゲーム機,638    ,62.9    ,37.1    
据置型ゲーム機,266    ,70.3    ,29.7    
インターネット接続テレビ,58    ,46.6    ,53.4    
インターネット利用（計）,2615    ,48.8    ,51.2    
インターネット非利用,527    ,48.6    ,51.4    
モバイル機器（計）,2548    ,48.7    ,51.3    
据置型機器（計）,611    ,54.3    ,45.7    
Ａスマートフォン（計）,1573    ,46.5    ,53.5    
Ｂ携帯電話（計）,150    ,34.7    ,65.3    
Ｃパソコン（計）,1129    ,48.2    ,51.8    
Ｄタブレット（計）,562    ,50.5    ,49.5    
Ｅ携帯音楽プレイヤー,327    ,49.5    ,50.5    
Ｆゲーム機（計）,719    ,63.4    ,36.6    
Ｇインターネット接続テレビ,58    ,46.6    ,53.4    
Ａ・Ｂスマートフォン・携帯電話（計）,1704    ,45.6    ,54.4    
Ａ・Ｂ機能限定や子供向け（計）,58    ,41.4    ,58.6    
Ａ・Ｂ機能限定や子供向け以外（計）,1656    ,45.8    ,54.2    
非該当,299    ,52.8    ,47.2    
【全数】Ｑ２〔ネット利用状況（Ａ１スマホ～Ｇ１インターネット接続テレビ計）〕,,,
使っている（計）,2615    ,48.8    ,51.2    
使える機種・設定で、使っていない（計）,923    ,53.5    ,46.5    
使えない機種・設定で、使っていない（計）,932    ,44.6    ,55.4    
わからない（計）,285    ,50.5    ,49.5    
非該当,299    ,52.8    ,47.2    
【全数】Ｑ２〔ネット利用状況（Ａ１スマホ）〕,,,
使っている,1475    ,46.6    ,53.4    
使える機種・設定で、使っていない,45    ,55.6    ,44.4    
使えない機種・設定で、使っていない,9    ,55.6    ,44.4    
わからない,12    ,33.3    ,66.7    
非該当,1900    ,50.9    ,49.1    
【全数】Ｑ２〔ネット利用状況（Ａ２格安スマホ）〕,,,
使っている,19    ,52.6    ,47.4    
使える機種・設定で、使っていない,2    ,50.0    ,50.0    
使えない機種・設定で、使っていない,1    ,100.0    ,-
わからない,-,-,-
非該当,3419    ,49.1    ,50.9    
【全数】Ｑ２〔ネット利用状況（Ａ３子供スマホ）〕,,,
使っている,28    ,32.1    ,67.9    
使える機種・設定で、使っていない,6    ,50.0    ,50.0    
使えない機種・設定で、使っていない,16    ,50.0    ,50.0    
わからない,10    ,50.0    ,50.0    
非該当,3381    ,49.2    ,50.8    
【全数】Ｑ２〔ネット利用状況（Ａ４契約切れスマホ）〕,,,
使っている,73    ,52.1    ,47.9    
使える機種・設定で、使っていない,12    ,83.3    ,16.7    
使えない機種・設定で、使っていない,10    ,30.0    ,70.0    
わからない,5    ,40.0    ,60.0    
非該当,3341    ,49.0    ,51.0    
【全数】Ｑ２〔ネット利用状況（Ｂ１携帯電話）〕,,,
使っている,120    ,30.8    ,69.2    
使える機種・設定で、使っていない,128    ,45.3    ,54.7    
使えない機種・設定で、使っていない,120    ,37.5    ,62.5    
わからない,24    ,58.3    ,41.7    
非該当,3049    ,50.4    ,49.6    
【全数】Ｑ２〔ネット利用状況（Ｂ２子ども向け携帯等）〕,,,
使っている,30    ,50.0    ,50.0    
使える機種・設定で、使っていない,37    ,45.9    ,54.1    
使えない機種・設定で、使っていない,214    ,43.9    ,56.1    
わからない,26    ,34.6    ,65.4    
非該当,3134    ,49.6    ,50.4    
【全数】Ｑ２〔ネット利用状況（Ｃ１ノートＰＣ）〕,,,
使っている,793    ,48.4    ,51.6    
使える機種・設定で、使っていない,46    ,54.3    ,45.7    
使えない機種・設定で、使っていない,4    ,50.0    ,50.0    
わからない,3    ,66.7    ,33.3    
非該当,2595    ,49.2    ,50.8    
【全数】Ｑ２〔ネット利用状況（Ｃ２デスクトップＰＣ）〕,,,
使っている,380    ,46.8    ,53.2    
使える機種・設定で、使っていない,25    ,56.0    ,44.0    
使えない機種・設定で、使っていない,2    ,50.0    ,50.0    
わからない,2    ,100.0    ,-
非該当,3032    ,49.3    ,50.7    
【全数】Ｑ２〔ネット利用状況（Ｄ１タブレット）〕,,,
使っている,434    ,52.8    ,47.2    
使える機種・設定で、使っていない,32    ,50.0    ,50.0    
使えない機種・設定で、使っていない,5    ,60.0    ,40.0    
わからない,12    ,25.0    ,75.0    
非該当,2958    ,48.6    ,51.4    
【全数】Ｑ２〔ネット利用状況（Ｄ２学習用タブレット）〕,,,
使っている,139    ,44.6    ,55.4    
使える機種・設定で、使っていない,33    ,39.4    ,60.6    
使えない機種・設定で、使っていない,22    ,54.5    ,45.5    
わからない,8    ,25.0    ,75.0    
非該当,3239    ,49.4    ,50.6    
【全数】Ｑ２〔ネット利用状況（Ｄ３娯楽用タブレット）〕,,,
使っている,6    ,83.3    ,16.7    
使える機種・設定で、使っていない,1    ,-,100.0    
使えない機種・設定で、使っていない,2    ,-,100.0    
わからない,-,-,-
非該当,3432    ,49.1    ,50.9    
【全数】Ｑ２〔ネット利用状況（Ｅ１携帯音楽プレイヤー）〕,,,
使っている,327    ,49.5    ,50.5    
使える機種・設定で、使っていない,162    ,39.5    ,60.5    
使えない機種・設定で、使っていない,328    ,35.4    ,64.6    
わからない,58    ,44.8    ,55.2    
非該当,2566    ,51.5    ,48.5    
【全数】Ｑ２〔ネット利用状況（Ｆ１携帯ゲーム）〕,,,
使っている,638    ,62.9    ,37.1    
使える機種・設定で、使っていない,462    ,56.9    ,43.1    
使えない機種・設定で、使っていない,298    ,54.7    ,45.3    
わからない,97    ,51.5    ,48.5    
非該当,1946    ,41.8    ,58.2    
【全数】Ｑ２〔ネット利用状況（Ｆ２据置型ゲーム）〕,,,
使っている,266    ,70.3    ,29.7    
使える機種・設定で、使っていない,327    ,61.8    ,38.2    
使えない機種・設定で、使っていない,205    ,56.1    ,43.9    
わからない,93    ,57.0    ,43.0    
非該当,2550    ,44.4    ,55.6    
【全数】Ｑ２〔ネット利用状況（Ｇ１ネットテレビ）〕,,,
使っている,58    ,46.6    ,53.4    
使える機種・設定で、使っていない,44    ,47.7    ,52.3    
使えない機種・設定で、使っていない,5    ,20.0    ,80.0    
