,,,,,,,,,,,
＜全員に＞,,,,,,,,,,,
Ｆ２　あなたは、今、何歳ですか。,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,
,総数,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,平均,標準偏差
＊＊【　総　数　】＊＊,3441    ,10.7    ,11.5    ,13.7    ,12.3    ,13.7    ,11.9    ,13.0    ,13.3    ,13.61    ,2.3    
調査方法〔訪問・ＷＥＢ〕,,,,,,,,,,,
訪問面接調査,3385    ,10.8    ,11.6    ,13.7    ,12.4    ,13.7    ,11.8    ,13.0    ,13.0    ,13.59    ,2.3    
ＷＥＢ調査,56    ,1.8    ,7.1    ,10.7    ,7.1    ,12.5    ,19.6    ,12.5    ,28.6    ,14.73    ,2.1    
〔性・学校種別〕,,,,,,,,,,,
小学生（計）,1080    ,34.1    ,36.8    ,29.2    ,-,-,-,-,-,10.95    ,0.8    
  男子,534    ,32.8    ,39.3    ,27.9    ,-,-,-,-,-,10.95    ,0.8    
  女子,546    ,35.3    ,34.2    ,30.4    ,-,-,-,-,-,10.95    ,0.8    
中学生（計）,1329    ,-,-,11.7    ,31.8    ,35.4    ,21.1    ,-,-,13.66    ,0.9    
  男子,654    ,-,-,11.6    ,33.2    ,33.9    ,21.3    ,-,-,13.65    ,0.9    
  女子,675    ,-,-,11.7    ,30.5    ,36.7    ,21.0    ,-,-,13.67    ,0.9    
高校生（計）,1007    ,-,-,-,-,-,12.8    ,43.2    ,44.0    ,16.31    ,0.7    
  男子,491    ,-,-,-,-,-,14.9    ,45.4    ,39.7    ,16.25    ,0.7    
  女子,516    ,-,-,-,-,-,10.9    ,41.1    ,48.1    ,16.37    ,0.7    
〔啓発学習経験・学校種別〕,,,,,,,,,,,
  説明を受けたり学んだりした,3117    ,8.3    ,10.5    ,14.1    ,12.7    ,14.5    ,12.6    ,13.6    ,13.7    ,13.76    ,2.2    
  教えてもらったり学んだりしたことはない,267    ,33.3    ,21.3    ,10.9    ,7.5    ,4.9    ,5.6    ,6.4    ,10.1    ,12.22    ,2.4    
  わからない,57    ,36.8    ,24.6    ,5.3    ,10.5    ,8.8    ,3.5    ,7.0    ,3.5    ,11.86    ,2.1    
