,,,,,,,,,,,,,,,,,
＜全員に＞,,,,,,,,,,,,,,,,,
Ｆ１・Ｆ２〔性・年齢別〕,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,
,総数,男性１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,女性１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳
＊＊【　総　数　】＊＊,3441    ,5.1    ,6.1    ,6.5    ,6.3    ,6.5    ,6.2    ,6.6    ,5.8    ,5.6    ,5.4    ,7.1    ,6.0    ,7.2    ,5.8    ,6.4    ,7.4    
調査方法〔訪問・ＷＥＢ〕,,,,,,,,,,,,,,,,,
訪問面接調査,3385    ,5.2    ,6.1    ,6.6    ,6.4    ,6.4    ,6.1    ,6.6    ,5.8    ,5.7    ,5.5    ,7.1    ,6.0    ,7.3    ,5.7    ,6.4    ,7.2    
ＷＥＢ調査,56    ,-,7.1    ,5.4    ,1.8    ,8.9    ,10.7    ,5.4    ,10.7    ,1.8    ,-,5.4    ,5.4    ,3.6    ,8.9    ,7.1    ,17.9    
〔性・学校種別〕,,,,,,,,,,,,,,,,,
小学生（計）,1080    ,16.2    ,19.4    ,13.8    ,-,-,-,-,-,17.9    ,17.3    ,15.4    ,-,-,-,-,-
  男子,534    ,32.8    ,39.3    ,27.9    ,-,-,-,-,-,-,-,-,-,-,-,-,-
  女子,546    ,-,-,-,-,-,-,-,-,35.3    ,34.2    ,30.4    ,-,-,-,-,-
中学生（計）,1329    ,-,-,5.7    ,16.3    ,16.7    ,10.5    ,-,-,-,-,5.9    ,15.5    ,18.7    ,10.7    ,-,-
  男子,654    ,-,-,11.6    ,33.2    ,33.9    ,21.3    ,-,-,-,-,-,-,-,-,-,-
  女子,675    ,-,-,-,-,-,-,-,-,-,-,11.7    ,30.5    ,36.7    ,21.0    ,-,-
高校生（計）,1007    ,-,-,-,-,-,7.2    ,22.1    ,19.4    ,-,-,-,-,-,5.6    ,21.1    ,24.6    
  男子,491    ,-,-,-,-,-,14.9    ,45.4    ,39.7    ,-,-,-,-,-,-,-,-
  女子,516    ,-,-,-,-,-,-,-,-,-,-,-,-,-,10.9    ,41.1    ,48.1    
〔啓発学習経験・学校種別〕,,,,,,,,,,,,,,,,,
  説明を受けたり学んだりした,3117    ,3.8    ,5.6    ,6.7    ,6.4    ,6.9    ,6.4    ,7.0    ,5.9    ,4.5    ,4.9    ,7.3    ,6.3    ,7.6    ,6.2    ,6.7    ,7.8    
  教えてもらったり学んだりしたことはない,267    ,16.5    ,10.1    ,4.9    ,4.5    ,1.9    ,4.1    ,3.0    ,5.6    ,16.9    ,11.2    ,6.0    ,3.0    ,3.0    ,1.5    ,3.4    ,4.5    
  わからない,57    ,21.1    ,17.5    ,3.5    ,7.0    ,5.3    ,1.8    ,3.5    ,1.8    ,15.8    ,7.0    ,1.8    ,3.5    ,3.5    ,1.8    ,3.5    ,1.8    
小学生（計）,1080    ,16.2    ,19.4    ,13.8    ,-,-,-,-,-,17.9    ,17.3    ,15.4    ,-,-,-,-,-
  説明を受けたり学んだりした,874    ,13.6    ,19.8    ,15.7    ,-,-,-,-,-,15.9    ,17.5    ,17.5    ,-,-,-,-,-
  教えてもらったり学んだりしたことはない,169    ,26.0    ,16.0    ,6.5    ,-,-,-,-,-,26.6    ,17.8    ,7.1    ,-,-,-,-,-
  わからない,37    ,32.4    ,27.0    ,2.7    ,-,-,-,-,-,24.3    ,10.8    ,2.7    ,-,-,-,-,-
中学生（計）,1329    ,-,-,5.7    ,16.3    ,16.7    ,10.5    ,-,-,-,-,5.9    ,15.5    ,18.7    ,10.7    ,-,-
  説明を受けたり学んだりした,1266    ,-,-,5.8    ,15.9    ,16.9    ,10.4    ,-,-,-,-,5.9    ,15.5    ,18.8    ,10.8    ,-,-
  教えてもらったり学んだりしたことはない,49    ,-,-,4.1    ,24.5    ,10.2    ,12.2    ,-,-,-,-,8.2    ,16.3    ,16.3    ,8.2    ,-,-
  わからない,14    ,-,-,7.1    ,28.6    ,21.4    ,7.1    ,-,-,-,-,-,14.3    ,14.3    ,7.1    ,-,-
高校生（計）,1007    ,-,-,-,-,-,7.2    ,22.1    ,19.4    ,-,-,-,-,-,5.6    ,21.1    ,24.6    
  説明を受けたり学んだりした,955    ,-,-,-,-,-,7.1    ,22.4    ,18.8    ,-,-,-,-,-,5.9    ,21.2    ,24.6    
  教えてもらったり学んだりしたことはない,46    ,-,-,-,-,-,10.9    ,15.2    ,30.4    ,-,-,-,-,-,-,17.4    ,26.1    
  わからない,6    ,-,-,-,-,-,-,33.3    ,16.7    ,-,-,-,-,-,-,33.3    ,16.7    
〔家庭のルール・学校種別〕,,,,,,,,,,,,,,,,,
  ルールを決めている（計）,1651    ,3.9    ,6.1    ,6.4    ,6.5    ,6.7    ,5.7    ,6.0    ,4.5    ,3.4    ,4.1    ,6.8    ,7.8    ,9.1    ,7.7    ,8.0    ,7.4    
  特にルールを決めていない,937    ,1.4    ,2.3    ,3.7    ,5.9    ,6.6    ,9.2    ,12.2    ,12.6    ,2.6    ,2.7    ,5.0    ,3.6    ,5.3    ,5.0    ,8.5    ,13.3    
  わからない,27    ,7.4    ,18.5    ,7.4    ,3.7    ,7.4    ,-,11.1    ,-,3.7    ,7.4    ,11.1    ,7.4    ,7.4    ,3.7    ,-,3.7    
小学生（計）,572    ,14.0    ,22.4    ,15.4    ,-,-,-,-,-,14.2    ,16.4    ,17.7    ,-,-,-,-,-
  ルールを決めている（計）,424    ,15.3    ,23.8    ,16.3    ,-,-,-,-,-,13.2    ,15.8    ,15.6    ,-,-,-,-,-
  特にルールを決めていない,135    ,9.6    ,16.3    ,13.3    ,-,-,-,-,-,17.8    ,18.5    ,24.4    ,-,-,-,-,-
  わからない,13    ,15.4    ,38.5    ,7.7    ,-,-,-,-,-,7.7    ,15.4    ,15.4    ,-,-,-,-,-
中学生（計）,1055    ,-,-,5.1    ,15.5    ,16.6    ,10.9    ,-,-,-,-,5.9    ,15.5    ,19.1    ,11.4    ,-,-
  ルールを決めている（計）,731    ,-,-,4.9    ,14.6    ,15.2    ,8.8    ,-,-,-,-,6.4    ,17.5    ,20.5    ,12.0    ,-,-
  特にルールを決めていない,315    ,-,-,5.4    ,17.5    ,19.7    ,16.2    ,-,-,-,-,4.4    ,10.8    ,15.9    ,10.2    ,-,-
  わからない,9    ,-,-,11.1    ,11.1    ,22.2    ,-,-,-,-,-,11.1    ,22.2    ,22.2    ,-,-,-
高校生（計）,965    ,-,-,-,-,-,6.7    ,22.1    ,19.3    ,-,-,-,-,-,5.7    ,21.2    ,25.0    
  ルールを決めている（計）,488    ,-,-,-,-,-,6.1    ,20.3    ,14.8    ,-,-,-,-,-,8.0    ,26.2    ,24.6    
  特にルールを決めていない,472    ,-,-,-,-,-,7.4    ,23.5    ,24.2    ,-,-,-,-,-,3.2    ,16.3    ,25.4    
  わからない,5    ,-,-,-,-,-,-,60.0    ,-,-,-,-,-,-,20.0    ,-,20.0    
Ｑ２〔インターネット利用・学校種別〕,,,,,,,,,,,,,,,,,
  インターネット利用（計）,2615    ,3.1    ,4.9    ,5.4    ,6.2    ,6.7    ,6.9    ,8.3    ,7.3    ,3.1    ,3.6    ,6.2    ,6.3    ,7.7    ,6.7    ,8.1    ,9.5    
  インターネット非利用（含わからない）,527    ,10.6    ,10.6    ,11.0    ,7.0    ,4.0    ,3.0    ,0.9    ,1.3    ,13.7    ,11.8    ,10.8    ,4.7    ,5.5    ,3.0    ,0.9    ,0.9    
小学生（計）,909    ,15.0    ,20.2    ,14.7    ,-,-,-,-,-,16.8    ,17.2    ,16.1    ,-,-,-,-,-
  インターネット利用（計）,572    ,14.0    ,22.4    ,15.4    ,-,-,-,-,-,14.2    ,16.4    ,17.7    ,-,-,-,-,-
  インターネット非利用（含わからない）,337    ,16.6    ,16.6    ,13.6    ,-,-,-,-,-,21.4    ,18.4    ,13.4    ,-,-,-,-,-
中学生（計）,1216    ,-,-,5.4    ,16.4    ,16.1    ,10.3    ,-,-,-,-,6.1    ,15.5    ,19.0    ,11.1    ,-,-
  インターネット利用（計）,1055    ,-,-,5.1    ,15.5    ,16.6    ,10.9    ,-,-,-,-,5.9    ,15.5    ,19.1    ,11.4    ,-,-
  インターネット非利用（含わからない）,161    ,-,-,7.5    ,23.0    ,13.0    ,6.2    ,-,-,-,-,7.5    ,15.5    ,18.0    ,9.3    ,-,-
高校生（計）,992    ,-,-,-,-,-,7.1    ,21.9    ,19.5    ,-,-,-,-,-,5.6    ,21.2    ,24.8    
  インターネット利用（計）,965    ,-,-,-,-,-,6.7    ,22.1    ,19.3    ,-,-,-,-,-,5.7    ,21.2    ,25.0    
  インターネット非利用（含わからない）,27    ,-,-,-,-,-,18.5    ,14.8    ,25.9    ,-,-,-,-,-,3.7    ,18.5    ,18.5    
Ｆ４〔兄弟・姉妹の有無〕,,,,,,,,,,,,,,,,,
  １人以上いる,1846    ,4.5    ,5.2    ,5.6    ,6.9    ,6.2    ,6.3    ,6.9    ,6.6    ,4.9    ,4.7    ,7.1    ,6.0    ,8.2    ,6.3    ,7.4    ,7.2    
  いない,1595    ,5.8    ,7.1    ,7.6    ,5.6    ,6.7    ,6.0    ,6.3    ,5.0    ,6.5    ,6.3    ,7.1    ,6.0    ,6.0    ,5.1    ,5.1    ,7.6    
小学生（計）,1080    ,16.2    ,19.4    ,13.8    ,-,-,-,-,-,17.9    ,17.3    ,15.4    ,-,-,-,-,-
  １人以上いる,511    ,16.2    ,18.8    ,12.3    ,-,-,-,-,-,17.6    ,17.0    ,18.0    ,-,-,-,-,-
  いない,569    ,16.2    ,20.0    ,15.1    ,-,-,-,-,-,18.1    ,17.6    ,13.0    ,-,-,-,-,-
中学生（計）,1329    ,-,-,5.7    ,16.3    ,16.7    ,10.5    ,-,-,-,-,5.9    ,15.5    ,18.7    ,10.7    ,-,-
  １人以上いる,740    ,-,-,5.4    ,17.2    ,15.5    ,10.0    ,-,-,-,-,5.3    ,14.9    ,20.5    ,11.2    ,-,-
  いない,589    ,-,-,6.1    ,15.3    ,18.2    ,11.0    ,-,-,-,-,6.8    ,16.3    ,16.3    ,10.0    ,-,-
高校生（計）,1007    ,-,-,-,-,-,7.2    ,22.1    ,19.4    ,-,-,-,-,-,5.6    ,21.1    ,24.6    
  １人以上いる,579    ,-,-,-,-,-,7.3    ,21.4    ,20.4    ,-,-,-,-,-,5.7    ,23.0    ,22.3    
  いない,428    ,-,-,-,-,-,7.2    ,23.1    ,18.0    ,-,-,-,-,-,5.4    ,18.5    ,27.8    
〔地域〕,,,,,,,,,,,,,,,,,
北海道・東北,430    ,4.2    ,6.0    ,5.3    ,5.1    ,7.0    ,6.0    ,6.0    ,6.7    ,7.4    ,4.9    ,7.4    ,5.8    ,6.5    ,5.1    ,7.0    ,9.3    
北関東,540    ,5.4    ,5.6    ,6.9    ,5.0    ,7.0    ,6.7    ,6.1    ,5.9    ,5.0    ,5.9    ,6.1    ,5.9    ,7.8    ,5.9    ,6.9    ,8.0    
南関東,485    ,5.4    ,5.8    ,6.4    ,6.8    ,4.9    ,6.8    ,6.6    ,4.9    ,7.2    ,6.0    ,7.8    ,4.9    ,8.7    ,5.8    ,5.6    ,6.4    
東海・北陸・信越,693    ,4.3    ,5.8    ,5.9    ,7.4    ,7.1    ,6.2    ,7.1    ,5.9    ,3.9    ,5.8    ,6.5    ,7.1    ,6.9    ,7.5    ,6.3    ,6.3    
