,,,,,,,,,,,,,,,,,,
＜全員に＞,,,,,,,,,,,,,,,,,,
〔回答票９〕Ｆ３　あなたは、学校へ通っていますか。在学中（ざいがくちゅう）の人は学校の種類と学年について〔在学中（ざいがくちゅう）の方〕（１から10まで）の中からお答えください。在学中（ざいがくちゅう）でない人は、最後に卒業（中退を含む）した学校について〔在学中（ざいがくちゅう）でない方〕（11から13）の中からお答えください。（１つだけ）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,,
,総数,小学４年生,小学５年生,小学６年生,中学１年生,中学２年生,中学３年生,高校１年生,高校２年生,高校３年生,専門学校、各種学校等,中学校卒業,高校中退,専門学校、各種学校等中退・卒業,小学生（計）,中学生（計）,高校生（計）,その他（計）
＊＊【　総　数　】＊＊,3441    ,6.8    ,11.6    ,13.0    ,12.4    ,13.3    ,12.9    ,12.0    ,12.4    ,4.9    ,-,0.2    ,0.5    ,0.0    ,31.4    ,38.6    ,29.3    ,0.7    
調査方法〔訪問・ＷＥＢ〕,,,,,,,,,,,,,,,,,,
訪問面接調査,3385    ,6.9    ,11.7    ,13.1    ,12.4    ,13.4    ,12.9    ,12.1    ,12.3    ,4.7    ,-,0.2    ,0.4    ,0.0    ,31.7    ,38.6    ,29.1    ,0.6    
ＷＥＢ調査,56    ,1.8    ,3.6    ,8.9    ,10.7    ,10.7    ,17.9    ,5.4    ,14.3    ,17.9    ,-,-,8.9    ,-,14.3    ,39.3    ,37.5    ,8.9    
〔性・学校種別〕,,,,,,,,,,,,,,,,,,
小学生（計）,1080    ,21.8    ,36.9    ,41.4    ,-,-,-,-,-,-,-,-,-,-,100.0    ,-,-,-
  男子,534    ,21.2    ,37.6    ,41.2    ,-,-,-,-,-,-,-,-,-,-,100.0    ,-,-,-
  女子,546    ,22.3    ,36.1    ,41.6    ,-,-,-,-,-,-,-,-,-,-,100.0    ,-,-,-
中学生（計）,1329    ,-,-,-,32.0    ,34.5    ,33.5    ,-,-,-,-,-,-,-,-,100.0    ,-,-
  男子,654    ,-,-,-,32.1    ,33.8    ,34.1    ,-,-,-,-,-,-,-,-,100.0    ,-,-
  女子,675    ,-,-,-,31.9    ,35.3    ,32.9    ,-,-,-,-,-,-,-,-,100.0    ,-,-
高校生（計）,1007    ,-,-,-,-,-,-,41.0    ,42.3    ,16.7    ,-,-,-,-,-,-,100.0    ,-
  男子,491    ,-,-,-,-,-,-,44.0    ,42.8    ,13.2    ,-,-,-,-,-,-,100.0    ,-
  女子,516    ,-,-,-,-,-,-,38.2    ,41.9    ,20.0    ,-,-,-,-,-,-,100.0    ,-
〔啓発学習経験・学校種別〕,,,,,,,,,,,,,,,,,,
  説明を受けたり学んだりした,3117    ,5.0    ,10.0    ,13.1    ,12.8    ,14.1    ,13.8    ,12.7    ,12.9    ,5.0    ,-,0.2    ,0.5    ,0.0    ,28.0    ,40.6    ,30.6    ,0.7    
  教えてもらったり学んだりしたことはない,267    ,24.7    ,25.8    ,12.7    ,7.1    ,6.4    ,4.9    ,4.9    ,8.2    ,4.1    ,-,0.4    ,0.7    ,-,63.3    ,18.4    ,17.2    ,1.1    
