,,,,,,,,
＜全員に＞,,,,,,,,
Ｆ１・Ｆ３〔性・学校種別〕,,,,,,,,
,,,,,,,,
,,,,,,,,
,青少年分析軸,,,,,,,
,総数,小学生男子,女子,中学生男子,女子,高校生男子,女子,その他
＊＊【　総　数　】＊＊,3441    ,15.5    ,15.9    ,19.0    ,19.6    ,14.3    ,15.0    ,0.7    
調査方法〔訪問・ＷＥＢ〕,,,,,,,,
訪問面接調査,3385    ,15.6    ,16.1    ,19.0    ,19.6    ,14.2    ,14.9    ,0.6    
ＷＥＢ調査,56    ,10.7    ,3.6    ,17.9    ,21.4    ,17.9    ,19.6    ,8.9    
〔性・学校種別〕,,,,,,,,
小学生（計）,1080    ,49.4    ,50.6    ,-,-,-,-,-
  男子,534    ,100.0    ,-,-,-,-,-,-
  女子,546    ,-,100.0    ,-,-,-,-,-
中学生（計）,1329    ,-,-,49.2    ,50.8    ,-,-,-
  男子,654    ,-,-,100.0    ,-,-,-,-
  女子,675    ,-,-,-,100.0    ,-,-,-
高校生（計）,1007    ,-,-,-,-,48.8    ,51.2    ,-
  男子,491    ,-,-,-,-,100.0    ,-,-
  女子,516    ,-,-,-,-,-,100.0    ,-
〔啓発学習経験・学校種別〕,,,,,,,,
  説明を受けたり学んだりした,3117    ,13.8    ,14.3    ,19.9    ,20.7    ,14.8    ,15.8    ,0.7    
  教えてもらったり学んだりしたことはない,267    ,30.7    ,32.6    ,9.4    ,9.0    ,9.7    ,7.5    ,1.1    
  わからない,57    ,40.4    ,24.6    ,15.8    ,8.8    ,5.3    ,5.3    ,-
小学生（計）,1080    ,49.4    ,50.6    ,-,-,-,-,-
  説明を受けたり学んだりした,874    ,49.1    ,50.9    ,-,-,-,-,-
  教えてもらったり学んだりしたことはない,169    ,48.5    ,51.5    ,-,-,-,-,-
  わからない,37    ,62.2    ,37.8    ,-,-,-,-,-
中学生（計）,1329    ,-,-,49.2    ,50.8    ,-,-,-
  説明を受けたり学んだりした,1266    ,-,-,49.0    ,51.0    ,-,-,-
  教えてもらったり学んだりしたことはない,49    ,-,-,51.0    ,49.0    ,-,-,-
  わからない,14    ,-,-,64.3    ,35.7    ,-,-,-
高校生（計）,1007    ,-,-,-,-,48.8    ,51.2    ,-
  説明を受けたり学んだりした,955    ,-,-,-,-,48.4    ,51.6    ,-
  教えてもらったり学んだりしたことはない,46    ,-,-,-,-,56.5    ,43.5    ,-
  わからない,6    ,-,-,-,-,50.0    ,50.0    ,-
〔家庭のルール・学校種別〕,,,,,,,,
  ルールを決めている（計）,1651    ,14.2    ,11.4    ,19.3    ,25.0    ,12.2    ,17.4    ,0.5    
  特にルールを決めていない,937    ,5.7    ,8.8    ,19.7    ,13.9    ,27.7    ,22.6    ,1.6    
  わからない,27    ,29.6    ,18.5    ,14.8    ,18.5    ,11.1    ,7.4    ,-
小学生（計）,572    ,51.7    ,48.3    ,-,-,-,-,-
  ルールを決めている（計）,424    ,55.4    ,44.6    ,-,-,-,-,-
  特にルールを決めていない,135    ,39.3    ,60.7    ,-,-,-,-,-
  わからない,13    ,61.5    ,38.5    ,-,-,-,-,-
中学生（計）,1055    ,-,-,48.1    ,51.9    ,-,-,-
  ルールを決めている（計）,731    ,-,-,43.5    ,56.5    ,-,-,-
  特にルールを決めていない,315    ,-,-,58.7    ,41.3    ,-,-,-
  わからない,9    ,-,-,44.4    ,55.6    ,-,-,-
高校生（計）,965    ,-,-,-,-,48.1    ,51.9    ,-
  ルールを決めている（計）,488    ,-,-,-,-,41.2    ,58.8    ,-
  特にルールを決めていない,472    ,-,-,-,-,55.1    ,44.9    ,-
  わからない,5    ,-,-,-,-,60.0    ,40.0    ,-
Ｑ２〔インターネット利用・学校種別〕,,,,,,,,
  インターネット利用（計）,2615    ,11.3    ,10.6    ,19.4    ,21.0    ,17.7    ,19.2    ,0.9    
  インターネット非利用（含わからない）,527    ,30.0    ,34.0    ,15.2    ,15.4    ,3.0    ,2.1    ,0.4    
小学生（計）,909    ,49.9    ,50.1    ,-,-,-,-,-
  インターネット利用（計）,572    ,51.7    ,48.3    ,-,-,-,-,-
  インターネット非利用（含わからない）,337    ,46.9    ,53.1    ,-,-,-,-,-
中学生（計）,1216    ,-,-,48.3    ,51.7    ,-,-,-
  インターネット利用（計）,1055    ,-,-,48.1    ,51.9    ,-,-,-
  インターネット非利用（含わからない）,161    ,-,-,49.7    ,50.3    ,-,-,-
高校生（計）,992    ,-,-,-,-,48.4    ,51.6    ,-
  インターネット利用（計）,965    ,-,-,-,-,48.1    ,51.9    ,-
  インターネット非利用（含わからない）,27    ,-,-,-,-,59.3    ,40.7    ,-
Ｆ４〔兄弟・姉妹の有無〕,,,,,,,,
  １人以上いる,1846    ,13.1    ,14.6    ,19.3    ,20.8    ,15.4    ,16.0    ,0.9    
  いない,1595    ,18.3    ,17.4    ,18.7    ,18.2    ,13.0    ,13.9    ,0.6    
小学生（計）,1080    ,49.4    ,50.6    ,-,-,-,-,-
  １人以上いる,511    ,47.4    ,52.6    ,-,-,-,-,-
  いない,569    ,51.3    ,48.7    ,-,-,-,-,-
中学生（計）,1329    ,-,-,49.2    ,50.8    ,-,-,-
  １人以上いる,740    ,-,-,48.1    ,51.9    ,-,-,-
  いない,589    ,-,-,50.6    ,49.4    ,-,-,-
高校生（計）,1007    ,-,-,-,-,48.8    ,51.2    ,-
  １人以上いる,579    ,-,-,-,-,49.1    ,50.9    ,-
  いない,428    ,-,-,-,-,48.4    ,51.6    ,-
〔地域〕,,,,,,,,
北海道・東北,430    ,13.0    ,17.4    ,18.4    ,18.4    ,14.4    ,17.2    ,1.2    
北関東,540    ,15.2    ,15.4    ,18.1    ,20.0    ,14.4    ,15.6    ,1.3    
南関東,485    ,15.1    ,18.6    ,19.0    ,19.4    ,13.6    ,13.8    ,0.6    
東海・北陸・信越,693    ,13.7    ,13.9    ,20.2    ,21.9    ,15.6    ,14.1    ,0.6    
近畿,554    ,19.5    ,16.1    ,18.2    ,19.7    ,12.6    ,13.7    ,0.2    
中国・四国,326    ,16.0    ,13.2    ,19.9    ,19.6    ,11.7    ,19.3    ,0.3    
九州・沖縄,413    ,16.5    ,16.9    ,19.1    ,16.7    ,16.7    ,13.1    ,1.0    
〔都市規模〕,,,,,,,,
大都市（政令指定都市）,850    ,15.3    ,15.5    ,19.1    ,18.6    ,14.5    ,16.5    ,0.6    
人口２０万人以上の市,894    ,17.7    ,16.1    ,18.1    ,18.8    ,14.1    ,14.9    ,0.3    
人口１０万人以上の市,592    ,14.5    ,17.1    ,19.1    ,20.4    ,14.0    ,13.7    ,1.2    
人口１０万人未満の市,796    ,15.1    ,15.2    ,19.8    ,21.5    ,13.3    ,14.1    ,1.0    
郡部（町村）,309    ,12.9    ,15.5    ,19.1    ,18.4    ,17.2    ,16.2    ,0.6    
〔都道府県〕,,,,,,,,
北海道,162    ,13.0    ,15.4    ,22.2    ,17.9    ,12.3    ,19.1    ,-
青森県,60    ,15.0    ,10.0    ,15.0    ,25.0    ,16.7    ,15.0    ,3.3    
岩手県,30    ,10.0    ,33.3    ,13.3    ,13.3    ,16.7    ,13.3    ,-
宮城県,80    ,13.8    ,17.5    ,13.8    ,21.3    ,12.5    ,17.5    ,3.8    
秋田県,26    ,7.7    ,15.4    ,11.5    ,19.2    ,23.1    ,23.1    ,-
山形県,29    ,6.9    ,17.2    ,27.6    ,13.8    ,13.8    ,20.7    ,-
福島県,43    ,18.6    ,25.6    ,18.6    ,11.6    ,16.3    ,9.3    ,-
茨城県,82    ,17.1    ,11.0    ,15.9    ,24.4    ,22.0    ,8.5    ,1.2    
栃木県,69    ,14.5    ,15.9    ,21.7    ,21.7    ,14.5    ,8.7    ,2.9    
群馬県,41    ,7.3    ,17.1    ,17.1    ,26.8    ,12.2    ,19.5    ,-
埼玉県,174    ,13.2    ,16.1    ,21.8    ,19.5    ,10.3    ,17.2    ,1.7    
千葉県,174    ,18.4    ,16.1    ,14.4    ,16.1    ,15.5    ,19.0    ,0.6    
東京都,237    ,16.9    ,18.6    ,19.0    ,17.3    ,14.8    ,13.1    ,0.4    
神奈川県,207    ,13.0    ,18.8    ,19.3    ,22.2    ,10.6    ,15.0    ,1.0    
新潟県,66    ,12.1    ,16.7    ,18.2    ,24.2    ,16.7    ,12.1    ,-
富山県,52    ,11.5    ,13.5    ,21.2    ,23.1    ,9.6    ,21.2    ,-
石川県,28    ,7.1    ,14.3    ,25.0    ,14.3    ,21.4    ,17.9    ,-
福井県,34    ,8.8    ,8.8    ,20.6    ,32.4    ,14.7    ,14.7    ,-
山梨県,41    ,14.6    ,17.1    ,17.1    ,17.1    ,22.0    ,12.2    ,-
長野県,58    ,15.5    ,19.0    ,19.0    ,22.4    ,19.0    ,5.2    ,-
岐阜県,56    ,12.5    ,14.3    ,16.1    ,32.1    ,7.1    ,17.9    ,-
静岡県,104    ,14.4    ,10.6    ,18.3    ,15.4    ,23.1    ,18.3    ,-
愛知県,241    ,14.1    ,15.4    ,22.0    ,19.1    ,14.5    ,13.3    ,1.7    
三重県,54    ,20.4    ,7.4    ,20.4    ,29.6    ,13.0    ,9.3    ,-
滋賀県,44    ,25.0    ,6.8    ,34.1    ,11.4    ,11.4    ,11.4    ,-
京都府,72    ,20.8    ,12.5    ,26.4    ,22.2    ,6.9    ,11.1    ,-
大阪府,233    ,13.7    ,20.6    ,15.9    ,21.9    ,14.6    ,13.3    ,-
兵庫県,147    ,26.5    ,15.0    ,16.3    ,16.3    ,9.5    ,15.6    ,0.7    
奈良県,31    ,22.6    ,6.5    ,6.5    ,25.8    ,22.6    ,16.1    ,-
和歌山県,27    ,14.8    ,18.5    ,14.8    ,18.5    ,18.5    ,14.8    ,-
鳥取県,14    ,14.3    ,7.1    ,35.7    ,21.4    ,7.1    ,14.3    ,-
島根県,21    ,9.5    ,14.3    ,4.8    ,33.3    ,19.0    ,19.0    ,-
岡山県,65    ,16.9    ,6.2    ,29.2    ,30.8    ,4.6    ,12.3    ,-
