,,,,,,,,,,,,
＜全員に＞,,,,,,,,,,,,
Ｆ４　あなたに、1人以上、兄または姉はいますか。（１つだけ）,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,
,総数,１人以上いる,いない,小学生（計）,１人以上いる,いない,中学生（計）,１人以上いる,いない,高校生（計）,１人以上いる,いない
＊＊【　総　数　】＊＊,3441    ,53.6    ,46.4    ,31.4    ,14.9    ,16.5    ,38.6    ,21.5    ,17.1    ,29.3    ,16.8    ,12.4    
調査方法〔訪問・ＷＥＢ〕,,,,,,,,,,,,
訪問面接調査,3385    ,53.5    ,46.5    ,31.7    ,15.0    ,16.7    ,38.6    ,21.5    ,17.1    ,29.1    ,16.7    ,12.4    
ＷＥＢ調査,56    ,60.7    ,39.3    ,14.3    ,7.1    ,7.1    ,39.3    ,23.2    ,16.1    ,37.5    ,23.2    ,14.3    
〔性・学校種別〕,,,,,,,,,,,,
小学生（計）,1080    ,47.3    ,52.7    ,100.0    ,47.3    ,52.7    ,-,-,-,-,-,-
  男子,534    ,45.3    ,54.7    ,100.0    ,45.3    ,54.7    ,-,-,-,-,-,-
  女子,546    ,49.3    ,50.7    ,100.0    ,49.3    ,50.7    ,-,-,-,-,-,-
中学生（計）,1329    ,55.7    ,44.3    ,-,-,-,100.0    ,55.7    ,44.3    ,-,-,-
  男子,654    ,54.4    ,45.6    ,-,-,-,100.0    ,54.4    ,45.6    ,-,-,-
  女子,675    ,56.9    ,43.1    ,-,-,-,100.0    ,56.9    ,43.1    ,-,-,-
高校生（計）,1007    ,57.5    ,42.5    ,-,-,-,-,-,-,100.0    ,57.5    ,42.5    
  男子,491    ,57.8    ,42.2    ,-,-,-,-,-,-,100.0    ,57.8    ,42.2    
  女子,516    ,57.2    ,42.8    ,-,-,-,-,-,-,100.0    ,57.2    ,42.8    
〔啓発学習経験・学校種別〕,,,,,,,,,,,,
  説明を受けたり学んだりした,3117    ,53.7    ,46.3    ,28.0    ,13.6    ,14.4    ,40.6    ,22.3    ,18.4    ,30.6    ,17.4    ,13.2    
  教えてもらったり学んだりしたことはない,267    ,53.6    ,46.4    ,63.3    ,26.6    ,36.7    ,18.4    ,13.9    ,4.5    ,17.2    ,12.4    ,4.9    
  わからない,57    ,49.1    ,50.9    ,64.9    ,28.1    ,36.8    ,24.6    ,15.8    ,8.8    ,10.5    ,5.3    ,5.3    
小学生（計）,1080    ,47.3    ,52.7    ,100.0    ,47.3    ,52.7    ,-,-,-,-,-,-
  説明を受けたり学んだりした,874    ,48.5    ,51.5    ,100.0    ,48.5    ,51.5    ,-,-,-,-,-,-
  教えてもらったり学んだりしたことはない,169    ,42.0    ,58.0    ,100.0    ,42.0    ,58.0    ,-,-,-,-,-,-
  わからない,37    ,43.2    ,56.8    ,100.0    ,43.2    ,56.8    ,-,-,-,-,-,-
中学生（計）,1329    ,55.7    ,44.3    ,-,-,-,100.0    ,55.7    ,44.3    ,-,-,-
  説明を受けたり学んだりした,1266    ,54.8    ,45.2    ,-,-,-,100.0    ,54.8    ,45.2    ,-,-,-
  教えてもらったり学んだりしたことはない,49    ,75.5    ,24.5    ,-,-,-,100.0    ,75.5    ,24.5    ,-,-,-
  わからない,14    ,64.3    ,35.7    ,-,-,-,100.0    ,64.3    ,35.7    ,-,-,-
